"","NAME","WAR","wRC","wRAA","wOBA"
"1","김재환",6.94,134.7,50.2,0.438
"2","양의지",6.42,109,38.4,0.431
"3","최주환",4.66,118.5,35.6,0.413
"4","정수빈",1.06,21.3,5.5,0.402
"5","국해성",0.15,5.3,1.4,0.402
"6","오재일",2.85,82.6,15.6,0.384
"7","전민재",0,1.4,0.3,0.385
"8","김재호",3.79,78.7,13,0.379
"9","박건우",3.42,85.5,11.2,0.371
"10","이우성",0.36,10.5,1.2,0.369
"11","오재원",3.29,80.8,7.6,0.364
"12","허경민",3.56,90.2,9.2,0.366
"13","백동훈",0.06,4.4,-0.3,0.338
"14","박세혁",1.26,25.2,-2,0.337
"15","장승현",0.08,2,-0.2,0.333
"16","양종민",0.04,1.9,-0.2,0.334
"17","김인태",0.11,12.4,-2.9,0.32
"18","정진호",0.47,33.8,-8.2,0.319
"19","류지혁",0.67,30.3,-9,0.314
"20","이병휘",-0.01,2.4,-1,0.305
"21","김민혁",-0.06,5.3,-2.8,0.296
"22","조수행",0.12,18.3,-9.5,0.297
"23","황경태",-0.13,0.8,-1,0.262
"24","신성현",-0.21,0.7,-3.1,0.225
"25","반슬라이크",-0.43,0.1,-6.1,0.199
"26","파레디스",-0.73,-0.4,-10.4,0.191
"27","이흥련",-0.16,-1.3,-2.3,0
