"","NAME","WAR","wRC","wRAA","wOBA"
"1","호잉",3.72,106.4,23.5,0.391
"2","이성열",1.87,88,13.8,0.377
"3","정근우",1.64,67.7,8,0.369
"4","김태균",0.47,41.9,3.8,0.364
"5","강경학",1.38,41.8,1.2,0.353
"6","김회성",0.34,14.6,0.3,0.351
"7","송광민",1.58,63.7,-0.9,0.346
"8","이용규",1.84,71.4,-9.4,0.331
"9","백창수",-0.11,19.2,-4.6,0.32
"10","지성준",0.61,25.3,-6.2,0.319
"11","정은원",0.32,23.3,-8.6,0.308
"12","최재훈",0.77,34.1,-13.9,0.305
"13","양성우",-0.12,23.3,-9.9,0.304
"14","최진행",-0.39,15.7,-5.9,0.307
"15","장진혁",-0.2,4.8,-2,0.304
"16","하주석",0.26,47.5,-25.1,0.296
"17","이동훈",-0.17,4.1,-2.9,0.286
"18","김민하",-0.49,7.4,-7.8,0.271
"19","오선진",-0.32,8.8,-12,0.261
"20","박준혁",-0.03,0.2,-0.5,0.248
"21","김태연",-0.1,1.1,-3.1,0.237
"22","김창혁",-0.05,0.2,-1.2,0.216
"23","강상원",-0.11,-0.6,-1.6,0.104
"24","정경운",-0.32,-2.1,-4.3,0.057
"25","이도윤",-0.16,-0.2,-0.3,0
"26","김인환",-0.03,-1.1,-1.9,0
