"","NAME","WAR","wRC","wRAA","wOBA"
"1","박병호",6.62,127.4,58.8,0.478
"2","김종덕",0.03,0.5,0.2,0.46
"3","샌즈",1.05,21.4,8.3,0.445
"4","이정후",3.75,93.5,20.4,0.391
"5","송성문",1.55,40.7,7.3,0.382
"6","서건창",0.66,25.5,3,0.369
"7","이택근",1.3,55.3,5.3,0.365
"8","김하성",3.56,87,6.1,0.36
"9","초이스",1.19,53.1,-2.6,0.341
"10","임병욱",2.14,60.2,-2.6,0.342
"11","김민성",1.75,60.7,-4.6,0.338
"12","김규민",0.79,42.4,-4.8,0.333
"13","장영석",0.16,24.6,-6.5,0.317
"14","박동원",0.39,13.1,-4.9,0.308
"15","김혜성",1,50,-16.4,0.311
"16","고종욱",-0.3,36.5,-12.8,0.309
"17","김재현",-0.32,14.8,-18.1,0.265
"18","주효상",-0.29,7.3,-10.4,0.26
"19","허정협",-0.07,1.3,-2,0.257
"20","김태완",-0.5,3.3,-7.1,0.246
"21","김지수",-0.26,0.5,-5,0.211
"22","박정음",-0.22,-0.7,-3.1,0.153
"23","예진원",-0.16,-0.4,-1.4,0.131
"24","홍성갑",-0.22,-1.5,-2.6,0
