NAME,WAR,wRC,wRAA,wOBA
김재환,6.94,134.7,50.2,0.438
양의지,6.42,109,38.4,0.431
최주환,4.66,118.5,35.6,0.413
정수빈,1.06,21.3,5.5,0.402
국해성,0.15,5.3,1.4,0.402
오재일,2.85,82.6,15.6,0.384
전민재,0,1.4,0.3,0.385
김재호,3.79,78.7,13,0.379
박건우,3.42,85.5,11.2,0.371
이우성,0.36,10.5,1.2,0.369
오재원,3.29,80.8,7.6,0.364
허경민,3.56,90.2,9.2,0.366
백동훈,0.06,4.4,-0.3,0.338
박세혁,1.26,25.2,-2,0.337
장승현,0.08,2,-0.2,0.333
양종민,0.04,1.9,-0.2,0.334
김인태,0.11,12.4,-2.9,0.32
정진호,0.47,33.8,-8.2,0.319
류지혁,0.67,30.3,-9,0.314
이병휘,-0.01,2.4,-1,0.305
김민혁,-0.06,5.3,-2.8,0.296
조수행,0.12,18.3,-9.5,0.297
황경태,-0.13,0.8,-1,0.262
신성현,-0.21,0.7,-3.1,0.225
반슬라이크,-0.43,0.1,-6.1,0.199
파레디스,-0.73,-0.4,-10.4,0.191
이흥련,-0.16,-1.3,-2.3,0
호잉,3.72,106.4,23.5,0.391
이성열,1.87,88,13.8,0.377
정근우,1.64,67.7,8,0.369
김태균,0.47,41.9,3.8,0.364
강경학,1.38,41.8,1.2,0.353
김회성,0.34,14.6,0.3,0.351
송광민,1.58,63.7,-0.9,0.346
이용규,1.84,71.4,-9.4,0.331
백창수,-0.11,19.2,-4.6,0.32
지성준,0.61,25.3,-6.2,0.319
정은원,0.32,23.3,-8.6,0.308
최재훈,0.77,34.1,-13.9,0.305
양성우,-0.12,23.3,-9.9,0.304
최진행,-0.39,15.7,-5.9,0.307
장진혁,-0.2,4.8,-2,0.304
하주석,0.26,47.5,-25.1,0.296
이동훈,-0.17,4.1,-2.9,0.286
김민하,-0.49,7.4,-7.8,0.271
오선진,-0.32,8.8,-12,0.261
박준혁,-0.03,0.2,-0.5,0.248
김태연,-0.1,1.1,-3.1,0.237
김창혁,-0.05,0.2,-1.2,0.216
강상원,-0.11,-0.6,-1.6,0.104
정경운,-0.32,-2.1,-4.3,0.057
이도윤,-0.16,-0.2,-0.3,0
김인환,-0.03,-1.1,-1.9,0
박병호,6.62,127.4,58.8,0.478
김종덕,0.03,0.5,0.2,0.46
샌즈,1.05,21.4,8.3,0.445
이정후,3.75,93.5,20.4,0.391
송성문,1.55,40.7,7.3,0.382
서건창,0.66,25.5,3,0.369
이택근,1.3,55.3,5.3,0.365
김하성,3.56,87,6.1,0.36
초이스,1.19,53.1,-2.6,0.341
임병욱,2.14,60.2,-2.6,0.342
김민성,1.75,60.7,-4.6,0.338
김규민,0.79,42.4,-4.8,0.333
장영석,0.16,24.6,-6.5,0.317
박동원,0.39,13.1,-4.9,0.308
김혜성,1,50,-16.4,0.311
고종욱,-0.3,36.5,-12.8,0.309
김재현,-0.32,14.8,-18.1,0.265
주효상,-0.29,7.3,-10.4,0.26
허정협,-0.07,1.3,-2,0.257
김태완,-0.5,3.3,-7.1,0.246
김지수,-0.26,0.5,-5,0.211
박정음,-0.22,-0.7,-3.1,0.153
예진원,-0.16,-0.4,-1.4,0.131
홍성갑,-0.22,-1.5,-2.6,0
로하스,5.66,127.3,36.7,0.41
유한준,3.48,92.4,24.9,0.404
황재균,3.4,97.6,15,0.376
강백호,2.1,96.6,14.4,0.375
박경수,2.51,78.5,4.3,0.357
이진영,0.48,44.5,0.6,0.351
윤석민,0.74,67.4,-4.1,0.34
장성우,0.79,44.7,-10.5,0.32
오태곤,-0.1,41.4,-11.1,0.317
정현,-0.07,12.2,-6.4,0.297
심우준,-0.09,35.2,-21.4,0.291
이해창,-0.15,13.6,-10.8,0.282
홍현빈,-0.02,1.2,-0.9,0.281
김사연,-0.12,3,-3.8,0.264
전민수,-0.26,2.1,-2.8,0.263
이준수,-0.02,0.6,-0.8,0.259
박기혁,-0.8,8.5,-19,0.244
김진곤,-0.29,0,-3.2,0.197
배정대,-0.1,-0.1,-0.8,0.184
이창진,-0.25,-0.5,-4.3,0.176
남태혁,-0.14,-0.3,-1.9,0.167
오준혁,-0.38,-0.9,-5.3,0.165
하준호,-0.35,-1,-4.7,0.155
송민섭,-0.41,-1.2,-5.3,0.152
김동명,-0.16,-0.7,-2.4,0.137
고명성,-0.19,-0.4,-0.6,0
김영환,-0.1,-0.7,-1.3,0
오정복,-0.05,-1.3,-2.3,0
이대형,0,-0.2,-0.3,0
유재신,0.57,11.7,6.1,0.512
최형우,4.94,121.2,35.6,0.411
안치홍,4.98,106.7,29.6,0.407
