"","NAME","WAR","wRC","wRAA","wOBA"
"1","유재신",0.57,11.7,6.1,0.512
"2","최형우",4.94,121.2,35.6,0.411
"3","안치홍",4.98,106.7,29.6,0.407
"4","나지완",2.35,70.3,17.1,0.397
"5","버나디나",4.55,102.8,20,0.385
"6","김주찬",2.75,79.8,13.6,0.38
"7","유민상",0.26,9.7,1.5,0.376
"8","이범호",2.23,59.1,5.7,0.365
"9","정성훈",0.7,29.3,0.5,0.351
"10","류승현",0.34,11.8,-0.1,0.347
"11","이명기",1.35,66.6,-3.9,0.34
"12","김선빈",2.1,64.6,-4.5,0.339
"13","백용환",0.14,7,-1,0.33
"14","박준태",0.21,17.9,-3.2,0.326
"15","한승택",0.33,10.8,-3.4,0.313
"16","홍재호",0.1,9.2,-3,0.311
"17","최원준",0.28,33.9,-12.6,0.308
"18","이창진",-0.04,0.3,-0.1,0.307
"19","김민식",0.84,36,-15.2,0.304
"20","최정민",-0.07,8.3,-5.1,0.291
"21","서동욱",-0.23,3.2,-4.6,0.26
"22","신범수",-0.2,-0.2,-3.8,0.19
"23","황윤호",-0.7,-1.3,-10,0.175
"24","오준혁",-0.2,-0.4,-3.1,0.175
"25","김주형",-0.12,-0.6,-1.7,0.115
"26","이영욱",-0.34,-1.2,-3.5,0.115
"27","이인행",-0.09,-0.2,-0.3,0
"28","김석환",-0.06,-0.4,-0.6,0
"29","황인준",-0.03,-0.6,-1,0
"30","유승철",0,-0.2,-0.3,0
