"","NAME","WAR","wRC","wRAA","wOBA"
"1","로하스",5.66,127.3,36.7,0.41
"2","유한준",3.48,92.4,24.9,0.404
"3","황재균",3.4,97.6,15,0.376
"4","강백호",2.1,96.6,14.4,0.375
"5","박경수",2.51,78.5,4.3,0.357
"6","이진영",0.48,44.5,0.6,0.351
"7","윤석민",0.74,67.4,-4.1,0.34
"8","장성우",0.79,44.7,-10.5,0.32
"9","오태곤",-0.1,41.4,-11.1,0.317
"10","정현",-0.07,12.2,-6.4,0.297
"11","심우준",-0.09,35.2,-21.4,0.291
"12","이해창",-0.15,13.6,-10.8,0.282
"13","홍현빈",-0.02,1.2,-0.9,0.281
"14","김사연",-0.12,3,-3.8,0.264
"15","전민수",-0.26,2.1,-2.8,0.263
"16","이준수",-0.02,0.6,-0.8,0.259
"17","박기혁",-0.8,8.5,-19,0.244
"18","김진곤",-0.29,0,-3.2,0.197
"19","배정대",-0.1,-0.1,-0.8,0.184
"20","이창진",-0.25,-0.5,-4.3,0.176
"21","남태혁",-0.14,-0.3,-1.9,0.167
"22","오준혁",-0.38,-0.9,-5.3,0.165
"23","하준호",-0.35,-1,-4.7,0.155
"24","송민섭",-0.41,-1.2,-5.3,0.152
"25","김동명",-0.16,-0.7,-2.4,0.137
"26","고명성",-0.19,-0.4,-0.6,0
"27","김영환",-0.1,-0.7,-1.3,0
"28","오정복",-0.05,-1.3,-2.3,0
"29","이대형",0,-0.2,-0.3,0
