"","NAME","WAR","wRC","wRAA","wOBA"
"1","김현수",4.79,107.4,35.6,0.424
"2","양원혁",0.09,1.3,0.4,0.428
"3","채은성",4.73,106.8,25.6,0.396
"4","가르시아",1.53,36.5,7.6,0.388
"5","이천웅",2.41,67.8,10.9,0.377
"6","유강남",3.68,73.7,8.4,0.368
"7","이형종",3.05,77.7,9.6,0.37
"8","박용택",1.38,89.2,7.3,0.362
"9","서상우",0.32,12.2,0.4,0.354
"10","홍창기",-0.05,3.3,-0.2,0.339
"11","양석환",1.37,61,-11.9,0.324
"12","오지환",2.83,75.4,-11.3,0.329
"13","정주현",0.85,35.5,-12.1,0.31
"14","문성주",-0.05,0.3,-0.1,0.307
"15","김재율",-0.09,3.6,-2.1,0.293
"16","정상호",-0.05,8.8,-9.1,0.272
"17","임훈",-0.32,4.8,-7.6,0.256
"18","강승호",-0.63,4.9,-10.4,0.246
"19","김용의",-0.85,8.6,-17.4,0.248
"20","안익훈",-0.7,5.6,-13.4,0.242
"21","윤진호",-0.31,1.9,-6.7,0.23
"22","백승현",-0.05,0.2,-0.9,0.23
"23","박지규",-0.37,0.6,-6.8,0.21
"24","윤대영",-0.28,0.4,-2.9,0.214
"25","문선재",-0.08,-0.2,-1.1,0.153
"26","장시윤",-0.05,-0.4,-0.6,0
