"","NAME","WAR","wRC","wRAA","wOBA"
"1","전병우",1.02,17.9,7.1,0.447
"2","전준우",5.67,127.4,41.2,0.421
"3","이대호",3.84,121.9,37.1,0.415
"4","손아섭",5.3,123,35.2,0.409
"5","이병규",1.91,49.9,13.8,0.406
"6","민병헌",3.05,79.2,9.8,0.37
"7","정훈",0.91,30.5,3.3,0.367
"8","허일",0.06,2.2,0.1,0.355
"9","번즈",2.67,74.3,3.3,0.356
"10","채태인",0.9,60.8,1.8,0.353
"11","신본기",1.87,66.8,-0.5,0.347
"12","나경민",0.3,9.2,-0.7,0.337
"13","김문호",-0.03,12.5,-3.7,0.314
"14","안중열",0.49,17.2,-7.6,0.302
"15","문규현",0.48,34,-15.1,0.302
"16","한동희",-0.2,17.9,-13.9,0.282
"17","조홍석",-0.29,4.7,-5.3,0.268
"18","황진수",-0.09,1.2,-2.5,0.246
"19","김동한",-0.57,4.2,-9.3,0.244
"20","김사훈",-0.38,2.3,-8.8,0.229
"21","박헌도",-0.26,0.5,-3.8,0.217
"22","오윤석",-0.15,0,-1.8,0.197
"23","나종덕",-1.71,-4.2,-32.7,0.175
"24","나원탁",-0.33,-1.8,-5.2,0.115
