"","NAME","WAR","wRC","wRAA","wOBA"
"1","나성범",4.51,109,21.9,0.387
"2","김태진",0.18,5.9,1,0.378
"3","박민우",2.93,70.7,6,0.363
"4","이원재",0.47,22.5,1.4,0.359
"5","스크럭스",1.41,83.5,3.2,0.355
"6","박석민",0.91,54.6,1.9,0.354
"7","모창민",0.95,44.7,0.6,0.351
"8","노진혁",1.7,59.5,-4.8,0.337
"9","박헌욱",0.1,3.1,-0.2,0.34
"10","권희동",0.92,50.1,-4.8,0.335
"11","김성욱",1.04,42.7,-7.6,0.326
"12","최준석",0.09,21.1,-4.1,0.324
"13","도태훈",0.03,4.8,-1.1,0.32
"14","김찬형",0.01,12.2,-10.3,0.28
"15","손시헌",-0.16,9.5,-11.5,0.266
"16","이우성",-0.62,6.9,-11.7,0.254
"17","이상호",-0.73,10.1,-18.5,0.251
"18","강구성",-0.02,0.2,-0.5,0.248
"19","강진성",-0.38,3.5,-7,0.248
"20","이종욱",-0.71,6.1,-11.9,0.249
"21","윤여운",-0.13,3.5,-7.6,0.245
"22","이재율",-0.21,1.3,-5,0.23
"23","신진호",-0.11,0.9,-2.7,0.234
"24","정범모",-0.65,8,-22.8,0.237
"25","강민국",-0.03,0.1,-0.4,0.23
"26","박광열",-0.17,0.6,-3.6,0.219
"27","지석훈",-0.64,2.1,-12.6,0.219
"28","윤병호",-0.22,0.7,-4.5,0.217
"29","김형준",-0.45,0.5,-12,0.204
"30","오영수",-0.24,-0.6,-2.8,0.16
