"","NAME","WAR","wRC","wRAA","wOBA"
"1","백상원",0.17,2.4,1.3,0.526
"2","러프",5.28,130.3,46.4,0.432
"3","구자욱",3.91,98.8,24.5,0.398
"4","이원석",3.35,90.1,13.8,0.376
"5","이지영",1.58,32.2,3.7,0.368
"6","김헌곤",1.99,85.7,3.4,0.355
"7","박해민",3.2,90.4,-0.8,0.347
"8","박한이",0.59,52.8,-2.3,0.342
"9","최영진",0.19,18.3,-1.4,0.338
"10","강민호",1.97,61.7,-5.3,0.337
"11","최원제",0.03,1.6,-0.3,0.326
"12","송준석",0.02,0.3,-0.1,0.307
"13","김상수",0.44,47.1,-23,0.299
"14","김성훈",0.02,19,-10.8,0.294
"15","배영섭",-0.28,13.8,-9.8,0.286
"16","박찬도",-0.14,6.7,-4.9,0.285
"17","강한울",-0.28,15.8,-13.5,0.279
"18","백승민",-0.11,2.2,-2.3,0.273
"19","손주인",-0.7,18.1,-23.6,0.263
"20","이성곤",-0.09,1.1,-1.6,0.26
"21","조동찬",-0.3,3.3,-5,0.258
"22","안주형",-0.15,0.2,-0.9,0.23
"23","김민수",-0.06,-0.2,-1.1,0.153
"24","김호재",-0.14,-0.4,-1.4,0.131
"25","정병곤",-0.33,-2.1,-4.3,0.057
"26","김응민",-0.19,-0.2,-0.3,0
"27","김성윤",-0.05,-0.4,-0.6,0
"28","권정웅",-0.02,-1.5,-2.6,0
"29","김재현",0.01,-0.2,-0.3,0
