"","NAME","WAR","wRC","wRAA","wOBA"
"1","안상현",0.03,0.5,0.2,0.46
"2","로맥",4.78,128.5,41.9,0.422
"3","이재원",4.21,87.5,21.4,0.397
"4","한유섬",3.53,105.2,26.3,0.399
"5","최정",3.52,85.3,16.7,0.385
"6","김강민",1.71,45.6,8.1,0.381
"7","최항",1.37,41.1,5,0.37
"8","강승호",0.55,16.2,1.7,0.367
"9","노수광",3.03,89,6.4,0.36
"10","박승욱",0.53,11.6,0.5,0.356
"11","김재현",0.33,11.2,0.4,0.353
"12","정의윤",0.26,32.7,-0.9,0.345
"13","최승준",0.03,10,-1.1,0.334
"14","나주환",0.98,50.9,-8.1,0.328
"15","허도환",0.11,3,-0.4,0.331
"16","김동엽",-0.06,51,-11.6,0.321
"17","김성현",0.77,49.1,-15.8,0.312
"18","윤정우",-0.02,4.2,-1.9,0.302
"19","정진기",-0.54,14,-15.8,0.269
"20","이성우",-0.18,7.8,-11,0.26
"21","박정권",-0.18,1.7,-2.7,0.256
"22","이대수",-0.04,0.1,-0.8,0.207
"23","박성한",-0.42,0.2,-8.1,0.201
"24","조용호",-0.34,-1.7,-3.7,0.066
"25","강지광",-0.03,-0.2,-0.3,0
"26","이윤재",-0.03,-0.2,-0.3,0
