"","NAME","WAR","FIP","LOB","BABIP"
"1","샘슨",2.97,4.35,0.67,0.313
"2","송은범",2.93,3.98,0.77,0.314
"3","이태양",2.62,4.27,0.8,0.279
"4","박상원",2.44,3.62,0.84,0.339
"5","정우람",2.01,3.93,0.75,0.301
"6","헤일",1.48,4.69,0.69,0.314
"7","휠러",1.43,4.79,0.71,0.379
"8","장민재",1.15,5.16,0.7,0.288
"9","김재영",1.03,5.9,0.68,0.318
"10","김성훈",0.73,4.27,0.75,0.315
"11","안영명",0.5,5.56,0.68,0.34
"12","김범수",0.36,5.34,0.68,0.346
"13","권혁",0.22,5.29,0.69,0.259
"14","서균",0.2,6.94,0.69,0.278
"15","송창식",0.18,5.81,0.76,0.302
"16","윤규진",0.18,5.36,0.62,0.343
"17","김종수",0.17,6.03,1.25,0.125
"18","임준섭",0.16,6.47,0.81,0.35
"19","김진욱",0.02,5.6,0.67,0.3
"20","강승현",0.02,9.23,1.25,0.4
"21","배영수",-0.03,4.62,0.59,0.356
"22","이동걸",-0.08,8.33,0.28,0.5
"23","김민우",-0.12,6.33,0.66,0.35
"24","김경태",-0.13,17.71,0.65,0.286
"25","김진영",-0.13,4.45,0.45,0.353
"26","정재원",-0.19,3.83,0.17,0.546
"27","박주홍",-0.2,6.62,0.62,0.373
"28","심수창",-0.2,13.26,0.71,0.556
