"","NAME","WAR","FIP","LOB","BABIP"
"1","양현종",5,4,0.73,0
"2","헥터",3,5,0.69,0
"3","김윤동",2,5,0.77,0
"4","임창용",2,6,0.71,0
"5","임기준",1,5,0.77,0
"6","문경찬",1,5,0.78,0
"7","유승철",1,5,0.76,0
"8","황인준",1,6,0.71,0
"9","팻딘",1,5,0.63,0
"10","한승혁",0,5,0.64,0
"11","임기영",0,6,0.69,0
"12","박준표",0,5,1,0
"13","정용운",0,7,0.66,0
"14","전상현",0,5,0.75,0
"15","심동섭",0,4,0.6,0
"16","윤석민",0,6,0.63,0
"17","박경태",0,3,0.5,0
"18","하준영",0,7,0.48,0
"19","홍건희",0,7,0.58,0
"20","김세현",0,5,0.62,0
"21","김유신",0,5,0.3,0
"22","이민우",0,6,0.62,0
"23","박정수",0,5,0.32,0
