"","NAME","WAR","FIP","LOB","BABIP"
"1","니퍼트",4.74,4.66,0.77,0.352
"2","피어밴드",3.78,4.83,0.71,0.332
"3","금민철",1.89,5.82,0.7,0.359
"4","고영표",1.8,4.31,0.65,0.374
"5","김재윤",1.38,4.6,0.76,0.374
"6","정성곤",0.98,4.9,0.87,0.303
"7","이종혁",0.86,4.62,0.7,0.361
"8","홍성용",0.68,5.39,0.7,0.326
"9","류희운",0.68,6.9,0.82,0.3
"10","심재민",0.63,4.83,0.69,0.362
"11","이상화",0.54,2.87,0.75,0.261
"12","김민",0.35,6.38,0.69,0.305
"13","김사율",0.33,6.46,0.7,0.306
"14","고창성",0.17,6.22,0.7,0.365
"15","엄상백",0.17,4.35,0.61,0.351
"16","배우열",0.15,2.25,0.8,0.438
"17","배제성",0.11,3.58,0.75,0.214
"18","김태오",0.09,6.55,0.72,0.384
"19","김민수",0,4.83,0.5,0.5
"20","최건",-0.05,4.83,0.57,0.556
"21","신병률",-0.06,6.95,0.63,0.33
"22","김용주",-0.18,11.33,0.54,0.5
"23","윤근영",-0.46,5.75,0.53,0.418
"24","박세진",-0.95,8.42,0.57,0.366
"25","주권",-1.04,6.09,0.52,0.339
