"","NAME","WAR","FIP","LOB","BABIP"
"1","윌슨",6.31,3.63,0.74,0.305
"2","소사",4.95,3.5,0.7,0.333
"3","정찬헌",1.16,4.59,0.71,0.337
"4","차우찬",0.81,5.83,0.64,0.296
"5","최동환",0.68,5.56,0.73,0.255
"6","최성훈",0.46,6.89,0.93,0.289
"7","배재준",0.41,4.35,0.61,0.284
"8","임찬규",0.4,5.37,0.68,0.37
"9","김지용",0.35,5.45,0.67,0.313
"10","배민관",0.34,3.47,0.87,0.265
"11","여건욱",0.3,4.54,0.69,0.351
"12","김영준",0.24,6.79,0.76,0.258
"13","전인환",0.1,4.01,0.7,0.389
"14","윤지웅",0.06,5.41,0.73,0.391
"15","임정우",0.04,9.83,1,0.5
"16","성동현",0.02,3.83,1,0.5
"17","신정락",0.01,4.27,0.6,0.391
"18","김태형",0.01,12.23,1.25,0.2
"19","고우석",-0.01,6.34,0.62,0.277
"20","김태형",-0.13,15.83,0.33,0.5
"21","손주영",-0.17,6.75,0.62,0.333
"22","문광은",-0.24,10.43,0.59,0.364
"23","이우찬",-0.27,21.83,0.43,0.6
"24","이동현",-0.47,5.54,0.47,0.344
"25","진해수",-0.49,5.25,0.61,0.386
"26","임지섭",-0.64,14.98,0.36,0.444
"27","김대현",-1.19,6.1,0.59,0.364
