"","NAME","WAR","FIP","LOB","BABIP"
"1","노경은",3.41,5,0.71,0.273
"2","레일리",2.95,4.78,0.67,0.316
"3","듀브론트",2.33,4.98,0.7,0.348
"4","손승락",2.24,2.86,0.66,0.313
"5","구승민",2.2,5.06,0.8,0.278
"6","오현택",1.64,4.79,0.75,0.313
"7","진명호",1.19,5.2,0.73,0.286
"8","윤길현",0.62,5.02,0.71,0.305
"9","장시환",0.48,5.01,0.7,0.333
"10","김건국",0.47,3.65,0.85,0.333
"11","윤성빈",0.39,4.86,0.65,0.371
"12","송승준",0.35,4.91,0.61,0.351
"13","정성종",0.16,5.36,0.6,0.279
"14","배장호",0.14,5.6,0.62,0.317
"15","이명우",0.05,3.54,0.48,0.36
"16","김원중",0.02,6.25,0.66,0.342
"17","조무근",-0.04,14.33,0.8,1
"18","정태승",-0.07,4.96,0.43,0.4
"19","홍성민",-0.09,6.56,0.36,0.385
"20","김대우",-0.1,11.33,0.65,0.429
"21","고효준",-0.14,4.76,0.56,0.345
"22","박진형",-0.33,5.22,0.65,0.489
"23","박시영",-0.36,7.06,0.55,0.326
"24","조정훈",-0.44,5.68,-0.08,0.353
"25","박세웅",-1.2,6.87,0.61,0.427
