"","NAME","WAR","FIP","LOB","BABIP"
"1","이재학",2.67,4.54,0.65,0.309
"2","왕웨이중",2.28,4.62,0.68,0.345
"3","베렛",2.22,5.3,0.72,0.337
"4","구창모",1.63,5.47,0.71,0.345
"5","원종현",0.88,5.2,0.69,0.343
"6","배재환",0.79,6.19,0.82,0.313
"7","박진우",0.69,4.55,0.77,0.291
"8","최성영",0.43,5.59,0.65,0.301
"9","이형범",0.42,5.5,0.64,0.307
"10","이민호",0.15,5.49,0.64,0.295
"11","정수민",0.14,6.63,0.68,0.312
"12","김재균",0.11,7.19,0.75,0.188
"13","김건태",0.06,5.83,0.65,0.312
"14","민태호",0.04,5.9,0.62,0.323
"15","심규범",0.03,3.83,1,0.333
"16","윤수호",0.03,7.33,0.79,0.375
"17","유원상",0,5.27,0.62,0.349
"18","류재인",-0.06,18.23,0.65,0
"19","임창민",-0.09,5.4,0.56,0.3
"20","강윤구",-0.11,5.32,0.6,0.317
"21","장현식",-0.22,7.25,0.68,0.312
"22","노성호",-0.24,6.68,0.64,0.341
"23","김진성",-0.26,7.21,0.66,0.321
"24","윤강민",-0.28,8.42,0.51,0.542
"25","최금강",-0.33,7.58,0.61,0.328
