NAME,WAR,FIP,LOB,BABIP
린드블럼,6.81,4.02,0.8,0.276
후랭코프,4.12,4.61,0.74,0.27
이용찬,3.91,4.56,0.76,0.309
함덕주,2.95,4.07,0.81,0.318
박치국,1.72,3.91,0.76,0.371
이영하,1.32,5.47,0.7,0.326
김승회,1.21,5.5,0.76,0.279
김강률,1.04,3.93,0.64,0.328
박신지,0.61,6.21,0.92,0.172
김정후,0.35,6.95,0.82,0.192
이현승,0.35,5.53,0.74,0.354
이현호,0.27,5.55,0.7,0.355
홍상삼,0.25,5.61,0.78,0.316
강동연,0.04,6.49,0.57,0.222
한주성,0.01,4.83,0.7,0.421
유재유,-0.02,7.15,0.77,0.455
박성모,-0.04,10.83,0.83,0.375
현기형,-0.06,8.1,0.72,0.321
김민규,-0.07,21.83,0.33,0.5
장민익,-0.22,25.83,0.53,0.333
변진수,-0.24,6.46,0.52,0.389
허준혁,-0.28,8.03,0.29,0.5
곽빈,-0.36,6.61,0.68,0.38
최원준,-0.44,7.15,0.45,0.455
최대성,-0.44,7.83,0.53,0.387
유희관,-0.53,5.78,0.64,0.351
윤수호,-0.68,5.8,0.26,0.333
장원준,-2.19,6.57,0.5,0.365
송은범,2.93,3.98,0.77,0.314
이태양,2.62,4.27,0.8,0.279
박상원,2.44,3.62,0.84,0.339
정우람,2.01,3.93,0.75,0.301
헤일,1.48,4.69,0.69,0.314
휠러,1.43,4.79,0.71,0.379
장민재,1.15,5.16,0.7,0.288
김재영,1.03,5.9,0.68,0.318
김성훈,0.73,4.27,0.75,0.315
안영명,0.5,5.56,0.68,0.34
김범수,0.36,5.34,0.68,0.346
권혁,0.22,5.29,0.69,0.259
서균,0.2,6.94,0.69,0.278
송창식,0.18,5.81,0.76,0.302
윤규진,0.18,5.36,0.62,0.343
김종수,0.17,6.03,1.25,0.125
임준섭,0.16,6.47,0.81,0.35
김진욱,0.02,5.6,0.67,0.3
강승현,0.02,9.23,1.25,0.4
배영수,-0.03,4.62,0.59,0.356
이동걸,-0.08,8.33,0.28,0.5
김민우,-0.12,6.33,0.66,0.35
김경태,-0.13,17.71,0.65,0.286
김진영,-0.13,4.45,0.45,0.353
정재원,-0.19,3.83,0.17,0.546
박주홍,-0.2,6.62,0.62,0.373
심수창,-0.2,13.26,0.71,0.556
브리검,5.78,4.36,0.73,0.301
최원태,3.66,4.13,0.72,0.325
한현희,2.83,5.51,0.73,0.335
로저스,1.97,4.12,0.7,0.328
양현,1.01,5.49,0.81,0.29
김상수,0.97,4.68,0.7,0.321
해커,0.94,6.36,0.73,0.295
이보근,0.9,4.18,0.63,0.324
이승호,0.55,6.19,0.72,0.277
윤영삼,0.35,3.36,0.59,0.363
김동준,0.35,6.43,0.72,0.34
조상우,0.28,3.36,0.58,0.333
이상민,0.22,3.62,1,0.231
오주원,0.13,5.08,0.6,0.325
문성현,0.04,4.83,1,0.333
박정준,0.03,6.33,0.67,0
김성민,-0.08,4.96,0.61,0.369
조성운,-0.09,6.35,0.61,0.345
김정인,-0.11,6.15,0.66,0.433
서의태,-0.12,14.33,0,0.5
이영준,-0.17,6.33,0.44,0.6
하영민,-0.32,6.47,0.59,0.403
안우진,-0.33,5.74,0.61,0.354
김선기,-0.34,6.83,0.65,0.377
신재영,-0.36,7.62,0.7,0.305
양현종,5,4,0.73,0
헥터,3,5,0.69,0
김윤동,2,5,0.77,0
임창용,2,6,0.71,0
임기준,1,5,0.77,0
문경찬,1,5,0.78,0
유승철,1,5,0.76,0
황인준,1,6,0.71,0
팻딘,1,5,0.63,0
한승혁,0,5,0.64,0
임기영,0,6,0.69,0
박준표,0,5,1,0
정용운,0,7,0.66,0
전상현,0,5,0.75,0
심동섭,0,4,0.6,0
윤석민,0,6,0.63,0
박경태,0,3,0.5,0
하준영,0,7,0.48,0
홍건희,0,7,0.58,0
김세현,0,5,0.62,0
김유신,0,5,0.3,0
이민우,0,6,0.62,0
박정수,0,5,0.32,0
니퍼트,4.74,4.66,0.77,0.352
피어밴드,3.78,4.83,0.71,0.332
금민철,1.89,5.82,0.7,0.359
고영표,1.8,4.31,0.65,0.374
김재윤,1.38,4.6,0.76,0.374
정성곤,0.98,4.9,0.87,0.303
이종혁,0.86,4.62,0.7,0.361
홍성용,0.68,5.39,0.7,0.326
류희운,0.68,6.9,0.82,0.3
심재민,0.63,4.83,0.69,0.362
이상화,0.54,2.87,0.75,0.261
김민,0.35,6.38,0.69,0.305
김사율,0.33,6.46,0.7,0.306
고창성,0.17,6.22,0.7,0.365
엄상백,0.17,4.35,0.61,0.351
배우열,0.15,2.25,0.8,0.438
배제성,0.11,3.58,0.75,0.214
김태오,0.09,6.55,0.72,0.384
김민수,0,4.83,0.5,0.5
최건,-0.05,4.83,0.57,0.556
신병률,-0.06,6.95,0.63,0.33
김용주,-0.18,11.33,0.54,0.5
윤근영,-0.46,5.75,0.53,0.418
박세진,-0.95,8.42,0.57,0.366
주권,-1.04,6.09,0.52,0.339
윌슨,6.31,3.63,0.74,0.305
소사,4.95,3.5,0.7,0.333
정찬헌,1.16,4.59,0.71,0.337
차우찬,0.81,5.83,0.64,0.296
최동환,0.68,5.56,0.73,0.255
최성훈,0.46,6.89,0.93,0.289
배재준,0.41,4.35,0.61,0.284
임찬규,0.4,5.37,0.68,0.37
김지용,0.35,5.45,0.67,0.313
배민관,0.34,3.47,0.87,0.265
여건욱,0.3,4.54,0.69,0.351
김영준,0.24,6.79,0.76,0.258
전인환,0.1,4.01,0.7,0.389
윤지웅,0.06,5.41,0.73,0.391
임정우,0.04,9.83,1,0.5
성동현,0.02,3.83,1,0.5
신정락,0.01,4.27,0.6,0.391
김태형,0.01,12.23,1.25,0.2
고우석,-0.01,6.34,0.62,0.277
김태형,-0.13,15.83,0.33,0.5
손주영,-0.17,6.75,0.62,0.333
문광은,-0.24,10.43,0.59,0.364
이우찬,-0.27,21.83,0.43,0.6
이동현,-0.47,5.54,0.47,0.344
진해수,-0.49,5.25,0.61,0.386
임지섭,-0.64,14.98,0.36,0.444
김대현,-1.19,6.1,0.59,0.364
노경은,3.41,5,0.71,0.273
레일리,2.95,4.78,0.67,0.316
듀브론트,2.33,4.98,0.7,0.348
손승락,2.24,2.86,0.66,0.313
구승민,2.2,5.06,0.8,0.278
오현택,1.64,4.79,0.75,0.313
진명호,1.19,5.2,0.73,0.286
윤길현,0.62,5.02,0.71,0.305
장시환,0.48,5.01,0.7,0.333
김건국,0.47,3.65,0.85,0.333
윤성빈,0.39,4.86,0.65,0.371
송승준,0.35,4.91,0.61,0.351
정성종,0.16,5.36,0.6,0.279
배장호,0.14,5.6,0.62,0.317
이명우,0.05,3.54,0.48,0.36
김원중,0.02,6.25,0.66,0.342
조무근,-0.04,14.33,0.8,1
정태승,-0.07,4.96,0.43,0.4
홍성민,-0.09,6.56,0.36,0.385
김대우,-0.1,11.33,0.65,0.429
고효준,-0.14,4.76,0.56,0.345
박진형,-0.33,5.22,0.65,0.489
박시영,-0.36,7.06,0.55,0.326
조정훈,-0.44,5.68,-0.08,0.353
박세웅,-1.2,6.87,0.61,0.427
이재학,2.67,4.54,0.65,0.309
왕웨이중,2.28,4.62,0.68,0.345
베렛,2.22,5.3,0.72,0.337
구창모,1.63,5.47,0.71,0.345
원종현,0.88,5.2,0.69,0.343
배재환,0.79,6.19,0.82,0.313
박진우,0.69,4.55,0.77,0.291
최성영,0.43,5.59,0.65,0.301
이형범,0.42,5.5,0.64,0.307
이민호,0.15,5.49,0.64,0.295
정수민,0.14,6.63,0.68,0.312
김재균,0.11,7.19,0.75,0.188
김건태,0.06,5.83,0.65,0.312
민태호,0.04,5.9,0.62,0.323
심규범,0.03,3.83,1,0.333
윤수호,0.03,7.33,0.79,0.375
유원상,0,5.27,0.62,0.349
류재인,-0.06,18.23,0.65,0
임창민,-0.09,5.4,0.56,0.3
강윤구,-0.11,5.32,0.6,0.317
장현식,-0.22,7.25,0.68,0.312
노성호,-0.24,6.68,0.64,0.341
김진성,-0.26,7.21,0.66,0.321
윤강민,-0.28,8.42,0.51,0.542
최금강,-0.33,7.58,0.61,0.328
최충연,2.98,3.33,0.72,0.324
아델만,2.81,4.89,0.69,0.343
백정현,2.34,5.05,0.73,0.327
심창민,1.86,5.45,0.79,0.263
보니야,1.77,5.14,0.67,0.343
장필준,1.49,4.09,0.7,0.333
양창섭,1.42,6.01,0.72,0.303
우규민,1.39,4.34,0.75,0.368
권오준,1.06,4.57,0.77,0.316
최채흥,0.78,5.33,0.88,0.309
임현준,0.64,4.99,0.75,0.243
김승현,0.56,4.92,0.78,0.429
정인욱,0.49,4.51,0.67,0.298
장원삼,0.18,4.89,0.61,0.339
장지훈,0.04,1.83,1,0.333
황수범,-0.03,9.83,0.67,0.429
안성무,-0.03,11.98,0.83,0.333
한기주,-0.05,6.27,0.65,0.359
김용하,-0.06,8.17,0.56,0.25
이승현,-0.08,6.83,0.64,0.346
박근홍,-0.1,5.53,0.6,0.368
김기태,-0.12,26.63,0,0.25
김시현,-0.13,9.43,0.62,0.471
최지광,-0.18,4.64,0.33,0.355
김대우,-0.43,7.25,0.62,0.349
윤성환,-0.52,6.47,0.64,0.356
김광현,5.26,4.16,0.81,0.294
켈리,3.89,4.4,0.72,0.31
박종훈,3.38,4.86,0.72,0.298
문승원,2.41,5.1,0.72,0.336
김태훈,2.26,4.05,0.71,0.319
산체스,1.88,5.38,0.69,0.313
신재웅,1.68,5.1,0.77,0.306
박희수,0.83,4.05,0.76,0.354
윤희상,0.71,4.62,0.66,0.315
이승진,0.56,5.6,0.71,0.287
채병용,0.51,7.2,0.84,0.26
박정배,0.26,5.29,0.67,0.326
전유수,0.2,6,0.75,0.346
남윤성,0.13,6.03,0.75,0.355
정동윤,0.12,7.58,1.15,0.333
서진용,0.11,6.47,0.71,0.307
임준혁,0.01,4.52,0.6,0.4
봉민호,0.01,10.58,0,0
정영일,-0.04,6.11,0.64,0.295
조성훈,-0.06,3.83,0.33,0.75
박민호,-0.09,11.98,0.43,0.333
김택형,-0.13,5.63,0.51,0.267
최민준,-0.16,15.63,0.5,0.3
강지광,-0.19,10.17,0.47,0.583
김주한,-0.32,9.5,0.41,0.333
정재원,-0.38,12.83,0,0.667
백인식,-0.44,7.81,0.6,0.317
이원준,-0.62,14.2,0.2,0.526
