"","NAME","WAR","FIP","LOB","BABIP"
"1","최충연",2.98,3.33,0.72,0.324
"2","아델만",2.81,4.89,0.69,0.343
"3","백정현",2.34,5.05,0.73,0.327
"4","심창민",1.86,5.45,0.79,0.263
"5","보니야",1.77,5.14,0.67,0.343
"6","장필준",1.49,4.09,0.7,0.333
"7","양창섭",1.42,6.01,0.72,0.303
"8","우규민",1.39,4.34,0.75,0.368
"9","권오준",1.06,4.57,0.77,0.316
"10","최채흥",0.78,5.33,0.88,0.309
"11","임현준",0.64,4.99,0.75,0.243
"12","김승현",0.56,4.92,0.78,0.429
"13","정인욱",0.49,4.51,0.67,0.298
"14","장원삼",0.18,4.89,0.61,0.339
"15","장지훈",0.04,1.83,1,0.333
"16","황수범",-0.03,9.83,0.67,0.429
"17","안성무",-0.03,11.98,0.83,0.333
"18","한기주",-0.05,6.27,0.65,0.359
"19","김용하",-0.06,8.17,0.56,0.25
"20","이승현",-0.08,6.83,0.64,0.346
"21","박근홍",-0.1,5.53,0.6,0.368
"22","김기태",-0.12,26.63,0,0.25
"23","김시현",-0.13,9.43,0.62,0.471
"24","최지광",-0.18,4.64,0.33,0.355
"25","김대우",-0.43,7.25,0.62,0.349
"26","윤성환",-0.52,6.47,0.64,0.356
