"","NAME","WAR","FIP","LOB","BABIP"
"1","김광현",5.26,4.16,0.81,0.294
"2","켈리",3.89,4.4,0.72,0.31
"3","박종훈",3.38,4.86,0.72,0.298
"4","문승원",2.41,5.1,0.72,0.336
"5","김태훈",2.26,4.05,0.71,0.319
"6","산체스",1.88,5.38,0.69,0.313
"7","신재웅",1.68,5.1,0.77,0.306
"8","박희수",0.83,4.05,0.76,0.354
"9","윤희상",0.71,4.62,0.66,0.315
"10","이승진",0.56,5.6,0.71,0.287
"11","채병용",0.51,7.2,0.84,0.26
"12","박정배",0.26,5.29,0.67,0.326
"13","전유수",0.2,6,0.75,0.346
"14","남윤성",0.13,6.03,0.75,0.355
"15","정동윤",0.12,7.58,1.15,0.333
"16","서진용",0.11,6.47,0.71,0.307
"17","임준혁",0.01,4.52,0.6,0.4
"18","봉민호",0.01,10.58,0,0
"19","정영일",-0.04,6.11,0.64,0.295
"20","조성훈",-0.06,3.83,0.33,0.75
"21","박민호",-0.09,11.98,0.43,0.333
"22","김택형",-0.13,5.63,0.51,0.267
"23","최민준",-0.16,15.63,0.5,0.3
"24","강지광",-0.19,10.17,0.47,0.583
"25","김주한",-0.32,9.5,0.41,0.333
"26","정재원",-0.38,12.83,0,0.667
"27","백인식",-0.44,7.81,0.6,0.317
"28","이원준",-0.62,14.2,0.2,0.526
