NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*
페르난데스,645,2.33,9.5,8.4,1.13,0.138,0.065,0.358,2.1,1.88,0.408,115.2,7.79,39.2,5.1
오재일,529,3.97,10.4,18.7,0.56,0.201,0.075,0.331,3.6,3.65,0.39,86.9,6.9,24.6,4.14
박건우,537,1.86,11.2,10.6,1.05,0.146,0.079,0.338,4.9,10.91,0.394,89.8,6.93,26.6,4.68
김재환,573,2.62,11,19.7,0.56,0.152,0.08,0.332,5,5,0.362,81.3,5.89,13.9,3.52
김재호,470,0.85,14.3,12.3,1.16,0.09,0.111,0.298,2.5,3.43,0.342,58.9,5.16,3.6,2.89
이흥련,44,0,4.6,27.3,0.17,0.095,0.031,0.433,3.5,,0.345,5.6,5.07,0.5,0.22
허경민,540,0.74,6.3,6.7,0.94,0.082,0.062,0.298,4,5.87,0.334,64.5,4.67,0.9,2.44
박세혁,505,0.79,8.1,13.5,0.6,0.111,0.067,0.317,6.2,5.33,0.334,60.1,4.76,0.7,3.06
김인태,70,2.86,11.4,17.1,0.67,0.167,0.086,0.255,4.1,1.33,0.324,7.8,4.13,-0.4,0.19
최주환,325,1.23,8.6,10.8,0.8,0.088,0.055,0.292,1.4,0,0.323,35.8,4.26,-2.4,0.75
정수빈,513,0,11.1,11.7,0.95,0.066,0.088,0.303,7,0,0.325,57.5,4.47,-2.9,2.05
신성현,54,1.85,18.5,25.9,0.71,0.073,0.157,0.25,3.6,0,0.308,5.3,4.1,-1,0.07
류지혁,316,0,7.6,12.7,0.6,0.036,0.073,0.289,6,0,0.289,26.3,3.13,-10.9,0.51
국해성,41,0,12.2,31.7,0.39,0.086,0.121,0.273,0.4,,0.272,2.8,2.39,-2,-0.06
오재원,204,1.47,12.3,24.5,0.5,0.107,0.103,0.21,6,4,0.257,11.7,2.04,-12.3,-0.3
정병곤,31,0,6.5,12.9,0.5,0.037,0.105,0.217,2.1,,0.259,1.8,2.06,-1.8,0.01
정진호,110,0.91,10,21.8,0.46,0.031,0.081,0.268,4.5,1.67,0.254,6,1.96,-6.9,-0.37
이병휘,12,0,0,25,0,0,0,0.333,6.9,0,0.236,0.5,1.45,-0.9,0.1
백동훈,52,0,5.8,30.8,0.19,0.043,0.08,0.258,4.6,,0.23,1.9,1.25,-4.3,-0.27
장승현,46,0,6.5,28.3,0.23,0.049,0.068,0.241,2.8,,0.223,1.4,1.07,-4,-0.14
김경호,27,0,0,25.9,0,0.039,0,0.263,3.9,,0.189,0.1,0.07,-3.1,-0.22
김대한,18,0,16.7,50,0.33,0,0.167,0,3.9,,0.12,-1,-1.72,-3.1,-0.22
이유찬,1,0,0,0,,0,0,0,,,0,-0.1,-4.05,-0.3,-0.07
송승환,2,0,0,50,0,0,0,0,,,0,-0.3,-4.05,-0.5,-0.05
서예일,3,0,0,0,,0,0,0,,,0,-0.4,-4.05,-0.8,-0.02
전민재,0,,,,,,,,,,,,,,0.01
김승회,0,,,,,,,,,,,,,,0
배영수,0,,,,,,,,,,,,,,0
함덕주,0,,,,,,,,,,,,,,-0.04
이영하,0,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,1
