NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*,,,,,,,,,,,,,,,
±Ë≈¬ø¨,6,0,33.3,33.3,1,0.25,0.25,0.5,1.9,,0.46,1.3,11.91,0.6,0.09,,,,,,,,,,,,,,,
¿Ãº∫ø≠,476,4.41,10.1,24,0.42,0.208,0.087,0.3,3.9,11.59,0.364,68.4,5.7,12.3,2.45,,,,,,,,,,,,,,,
√÷¿Á»∆,451,0.67,12.4,13.5,0.92,0.072,0.109,0.336,2.5,3,0.362,63.8,5.89,10.6,3.55,,,,,,,,,,,,,,,
±Ë≈¬±’,500,1.2,10.8,18.8,0.57,0.09,0.077,0.37,2.3,4,0.36,70.2,5.85,11.4,1.9,,,,,,,,,,,,,,,
»£¿◊,525,3.43,7.2,17.1,0.42,0.177,0.056,0.314,5.6,19.8,0.359,73,5.48,11.2,3.51,,,,,,,,,,,,,,,
√÷¿±ºÆ,15,0,20,26.7,0.75,0,0.15,0.375,3.9,,0.333,1.8,5.33,0,0.11,,,,,,,,,,,,,,,
√÷¡¯«‡,129,4.65,7,21.7,0.32,0.205,0.064,0.25,1,0,0.33,14.9,4.28,-0.3,0.34,,,,,,,,,,,,,,,
¡§±ŸøÏ,305,0.98,6.6,14.1,0.47,0.076,0.056,0.319,3.8,4.36,0.32,32.9,4.04,-3,0.75,,,,,,,,,,,,,,,
¡§¿∫ø¯,624,1.28,7.7,16.2,0.48,0.112,0.055,0.304,6.3,10.18,0.317,65.8,4.03,-7.7,2.06,,,,,,,,,,,,,,,
¿Â¡¯«ı,349,0.29,7.5,21.2,0.35,0.092,0.066,0.328,6.8,1.86,0.312,35.3,3.86,-5.8,0.61,,,,,,,,,,,,,,,
±ËπŒ«œ,140,1.43,6.4,29.3,0.22,0.096,0.063,0.361,3.2,2.86,0.311,14,3.72,-2.4,0.22,,,,,,,,,,,,,,,
∫ØøÏ«ı,61,1.64,11.5,27.9,0.41,0.076,0.101,0.314,1.2,0,0.306,5.9,3.6,-1.3,-0.01,,,,,,,,,,,,,,,
±Ë»∏º∫,117,2.56,9.4,20.5,0.46,0.125,0.071,0.269,2.8,2.4,0.303,11.1,3.55,-2.7,0.17,,,,,,,,,,,,,,,
º€±§πŒ,486,1.44,4.3,18.7,0.23,0.093,0.034,0.31,3.2,7.47,0.3,44.4,3.3,-12.8,1.04,,,,,,,,,,,,,,,
¡ˆº∫¡ÿ,109,1.84,4.6,19.3,0.24,0.115,0.034,0.296,1.2,0,0.3,10,3.33,-2.9,0.33,,,,,,,,,,,,,,,
∞≠∞Ê«–,135,0,11.1,23.7,0.47,0.035,0.102,0.329,3.3,0,0.297,12,3.42,-3.8,0.25,,,,,,,,,,,,,,,
¿Ãµø»∆,31,0,0,25.8,0,0.032,0,0.391,4.2,0,0.286,2.5,2.94,-1.1,0.02,,,,,,,,,,,,,,,
ø¿º±¡¯,453,0.66,8.4,15.9,0.53,0.064,0.083,0.266,3.5,4.2,0.281,34.8,2.87,-18.6,0.59,,,,,,,,,,,,,,,
«œ¡÷ºÆ,20,0,0,20,0,0.105,0,0.333,2.1,,0.273,1.4,2.38,-0.9,0.04,,,,,,,,,,,,,,,
πÈ√¢ºˆ,48,0,0,37.5,0,0.068,0.034,0.385,2,,0.251,2.5,1.85,-3.1,-0.17,,,,,,,,,,,,,,,
¿Ãø¯ºÆ,9,0,22.2,55.6,0.4,0,0.333,0,6.4,0,0.244,0.4,1.89,-0.6,-0.11,,,,,,,,,,,,,,,
±Ë¡æπŒ,21,4.76,0,33.3,0,0.15,0,0.25,1.3,0,0.234,0.8,1.21,-1.7,-0.03,,,,,,,,,,,,,,,
≥ÎΩ√»Ø,192,0.52,5.7,37.5,0.15,0.073,0.054,0.305,4.7,1.33,0.237,7.8,1.4,-14.8,-0.8,,,,,,,,,,,,,,,
±Ë¿Œ»Ø,46,0,4.4,19.6,0.22,0.024,0.025,0.257,1.9,,0.224,1.4,1.09,-4,-0.38,,,,,,,,,,,,,,,
