NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*,,,,,,,
최형우,555,3.06,15.3,13.9,1.1,0.184,0.112,0.325,1.9,0,0.406,98.5,7.82,33.2,4.16,,,,,,,
터커,399,2.26,9.5,11,0.86,0.168,0.07,0.334,1.7,0,0.393,66.7,6.95,19.7,3.25,,,,,,,
유민상,202,2.48,11.4,17.3,0.66,0.171,0.095,0.341,1.4,0,0.391,33.4,6.93,9.6,1.23,,,,,,,
안치홍,408,1.23,9.8,9.1,1.08,0.097,0.065,0.335,3.3,4.44,0.368,59.7,6.1,11.7,2.84,,,,,,,
이창진,470,1.28,12.1,19.6,0.62,0.113,0.093,0.332,3.7,6.86,0.347,60.8,5.18,5.5,2.5,,,,,,,
김선빈,447,0.67,9.6,5.8,1.65,0.079,0.068,0.304,3.5,3.75,0.34,55.4,5.01,2.8,2.3,,,,,,,
이명기,302,0.33,9.3,13.6,0.68,0.064,0.075,0.329,4.7,1.6,0.331,35.2,4.71,-0.3,1.28,,,,,,,
황윤호,130,0.77,3.9,9.2,0.42,0.098,0.025,0.324,4.9,1.33,0.331,15.1,4.44,-0.2,0.43,,,,,,,
김주찬,363,0.83,4.7,12.1,0.39,0.074,0.04,0.335,3.1,3,0.33,42,4.59,-0.8,0.71,,,,,,,
신범수,65,3.08,10.8,21.5,0.5,0.193,0.097,0.244,1.3,0,0.327,7.4,4.33,-0.3,0.34,,,,,,,
백용환,51,3.92,5.9,27.5,0.21,0.17,0.06,0.29,1.9,0,0.32,5.5,4.12,-0.5,0.24,,,,,,,
한준수,20,0,0,10,0,0.1,0,0.333,1.3,,0.321,2.2,3.66,-0.2,0.04,,,,,,,
나지완,153,3.92,12.4,24.2,0.51,0.178,0.115,0.205,1.2,0,0.306,14.8,3.64,-3.2,0.06,,,,,,,
유재신,59,0,10.2,20.3,0.5,0.078,0.073,0.325,7.2,0,0.306,5.7,3.5,-1.2,-0.08,,,,,,,
이범호,31,3.23,9.7,9.7,1,0.154,0.06,0.208,0.6,0,0.301,2.9,3.37,-0.8,0.02,,,,,,,
류승현,163,0,5.5,17.8,0.31,0.067,0.06,0.314,4.3,0,0.301,15.1,3.49,-4.1,0.05,,,,,,,
문선재,61,4.92,14.8,29.5,0.5,0.184,0.132,0.167,4.2,2.4,0.298,5.5,3.38,-1.7,-0.02,,,,,,,
박찬호,541,0.37,4.8,15.3,0.31,0.058,0.04,0.306,6.9,3.81,0.289,44.8,3.07,-18.9,0.91,,,,,,,
한승택,288,1.04,9.4,28.5,0.33,0.08,0.076,0.316,2.6,1.5,0.278,21.4,2.72,-12.5,0.27,,,,,,,
이정훈,15,0,0,6.7,0,0.071,0.019,0.286,0.1,,0.277,1.1,2.28,-0.7,0.02,,,,,,,
황대인,28,0,3.6,28.6,0.13,0.08,0.086,0.294,1.9,,0.275,2,2.7,-1.3,-0.12,,,,,,,
이인행,20,0,10,30,0.33,0.063,0.128,0.3,0.4,,0.27,1.4,2.44,-1,-0.04,,,,,,,
해즐베이커,46,4.35,8.7,39.1,0.22,0.195,0.093,0.191,4.4,1.33,0.268,3,2.27,-2.4,-0.05,,,,,,,
최정용,21,0,0,47.6,0,0,0,0.546,3.9,,0.27,1.4,2.55,-1.1,-0.02,,,,,,,
최원준,255,0.39,6.3,20,0.31,0.086,0.063,0.249,7.1,1.78,0.256,14.4,1.98,-15.6,-0.65,,,,,,,
이우성,87,3.45,5.8,25.3,0.23,0.125,0.066,0.2,1.5,0,0.254,4.8,1.89,-5.5,-0.22,,,,,,,
고영우,32,0,0,25,0,0.065,0.024,0.304,4.3,,0.252,1.7,1.77,-2.1,-0.12,,,,,,,
김민식,116,0,12.9,25,0.52,0.021,0.126,0.232,3.1,0,0.249,5.9,1.93,-7.7,-0.14,,,,,,,
박준태,47,0,8.5,31.9,0.27,0.073,0.063,0.25,4.1,0,0.226,1.5,1.07,-4,-0.21,,,,,,,
홍재호,20,0,5,25,0.2,0,0.039,0.286,1.6,,0.225,0.6,1.06,-1.7,-0.05,,,,,,,
