NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*
°­¹éÈ£,504,2.58,12.1,17.3,0.7,0.16,0.08,0.393,3.7,10.64,0.415,93.1,8.11,33.8,4.74
·ÎÇÏ½º,576,4.17,8.3,20.8,0.4,0.206,0.057,0.375,3.9,6.86,0.405,101.4,7.48,33.6,5.49
À¯ÇÑÁØ,562,2.49,9.3,10.9,0.85,0.126,0.065,0.336,2.6,4.94,0.381,88.1,6.48,22,3.46
È²Àç±Õ,506,3.95,10.3,13.8,0.74,0.183,0.074,0.296,4.8,13.33,0.373,76.4,6.03,16.8,4.05
¼Û¹Î¼·,64,0,10.9,20.3,0.54,0.038,0.095,0.39,6.8,,0.35,8.4,5.42,0.9,0.21
Á¶¿ëÈ£,211,0,10,13.3,0.75,0.064,0.071,0.344,5.3,0,0.339,25.9,5.04,1.1,0.53
¿À½ÂÅÃ,199,2.01,5.5,19.6,0.28,0.134,0.039,0.331,6.4,5.54,0.334,23.6,4.56,0.2,0.89
¹Ú°æ¼ö,489,2.05,11.3,20.9,0.54,0.129,0.088,0.299,1.3,0,0.329,56.2,4.45,-1.4,2.21
Àå¼º¿ì,412,1.7,8.5,20.9,0.41,0.077,0.063,0.32,1.1,0,0.309,40.7,3.77,-7.8,1.32
±è¹ÎÇõ,521,0,6.1,11.7,0.53,0.026,0.06,0.32,5.2,0,0.309,51.7,3.84,-9.7,1
½É¿ìÁØ,433,0.69,5.3,15.7,0.34,0.061,0.049,0.33,5.8,5.33,0.307,42.3,3.74,-8.7,1.92
°­¹Î±¹,94,0,6.4,18.1,0.35,0.023,0.046,0.338,5.6,0,0.295,8.2,3.37,-2.8,0.28
ÀÌÁØ¼ö,49,0,18.4,22.5,0.82,0.028,0.175,0.28,1.2,,0.29,4.1,3.37,-1.7,0.03
¿ÀÅÂ°ï,192,1.04,10.4,20.3,0.51,0.067,0.098,0.274,4.9,3.33,0.289,16,3.13,-6.6,-0.08
±èÁø°ï,34,0,5.9,23.5,0.25,0.067,0.046,0.364,3.5,0,0.287,2.8,2.86,-1.2,-0.1
¹Ú½Â¿í,229,0.87,5.2,19.7,0.27,0.081,0.047,0.303,5.5,2.67,0.282,17.7,2.81,-9.3,-0.15
¹®»óÃ¶,67,2.99,6,38.8,0.15,0.119,0.065,0.303,3.8,2,0.274,4.7,2.56,-3.1,-0.07
ÀÌ´ëÇü,19,0,21.1,26.3,0.8,0.071,0.173,0.2,3.1,,0.271,1.3,2.7,-0.9,-0.07
À±¼®¹Î,178,1.12,3.9,13.5,0.29,0.059,0.028,0.255,1.1,0,0.256,10.1,2,-10.9,-0.67
¹èÁ¤´ë,84,0,8.3,27.4,0.3,0.054,0.078,0.294,3.5,,0.256,4.7,1.95,-5.2,-0.27
¾ÈÄ¡¿µ,7,0,0,28.6,0,0,0.119,0.25,3.9,,0.242,0.3,1.72,-0.5,-0.02
°í¸í¼º,18,0,11.1,38.9,0.29,0,0.097,0.222,2.1,,0.185,0,-0.02,-2.1,-0.17
Á¤Çö,10,0,10,20,0.5,0,0.089,0.143,0.1,,0.167,-0.2,-0.47,-1.3,-0.1
ÀÌÇØÃ¢,43,0,4.7,25.6,0.18,0,0.061,0.172,1.9,,0.161,-0.9,-0.67,-5.9,-0.35
¾È½ÂÇÑ,47,0,2.1,27.7,0.08,0.023,0.038,0.194,3,,0.16,-1,-0.67,-6.5,-0.47
±èº´Èñ,7,0,0,28.6,0,0,0,0.2,1.9,,0.135,-0.3,-1.3,-1.1,-0.08
±è¿µÈ¯,15,0,6.7,20,0.33,0,0.062,0.091,2.1,,0.111,-0.9,-1.75,-2.7,-0.19
¹Ú¹Î¼®,1,0,0,0,,0,0,0,,,0,-0.1,-4.05,-0.3,-0.02
±èÀçÀ±,1,0,0,0,,0,0,0,,,0,-0.1,-4.05,-0.3,-0.02
