NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*
박병호,532,6.2,14.7,22,0.67,0.28,0.118,0.302,2.4,0,0.422,100.9,8.31,38.3,5.46
샌즈,613,4.57,12.6,16.5,0.76,0.238,0.092,0.329,2.4,1.93,0.421,115.8,8.03,43.6,6.16
김하성,625,3.04,11.2,12.8,0.88,0.183,0.082,0.328,6,24.12,0.397,106.3,7.21,32.8,7.17
이정후,630,0.95,7.1,6.4,1.13,0.12,0.05,0.352,5.9,8.21,0.386,101.5,6.68,27.3,4.88
박동원,361,2.77,9.4,15.5,0.61,0.148,0.071,0.333,3,1.82,0.367,52.6,5.89,10.1,2.92
서건창,486,0.41,10.1,10.3,0.98,0.082,0.072,0.333,6.1,3.58,0.352,65,5.59,7.8,2.34
예진원,8,0,25,37.5,0.67,0.167,0.208,0.333,3.1,,0.345,1,5.53,0.1,0.03
김혜성,387,0,7.5,22,0.34,0.083,0.056,0.36,7.8,0,0.319,41.3,4.18,-4.2,1.9
김규민,250,1.2,8.8,27.2,0.32,0.086,0.076,0.34,4.1,2.4,0.312,25.3,3.86,-4.1,0.28
장영석,413,1.7,6.5,18.6,0.35,0.097,0.063,0.29,1.4,0,0.307,40.1,3.62,-8.5,0.53
김지수,32,0,6.3,21.9,0.29,0.067,0.046,0.348,1.7,,0.305,3.1,3.59,-0.7,0
박정음,88,0,12.5,35.2,0.36,0.056,0.148,0.35,6.9,0,0.3,8.1,3.4,-2.3,-0.09
이지영,331,0.3,4.5,8.5,0.54,0.033,0.034,0.307,3.8,1.67,0.293,28.6,3.17,-10.4,0.88
김웅빈,11,0,0,18.2,0,0.091,0,0.333,1.3,,0.292,0.9,2.52,-0.4,0.02
임병욱,419,0,5.5,26.3,0.21,0.071,0.062,0.342,6.2,0,0.29,35.2,3.16,-14.1,0.57
허정협,77,0,9.1,24.7,0.37,0.015,0.076,0.32,1.5,,0.277,5.6,2.81,-3.5,-0.13
송성문,335,0.9,5.7,15.8,0.36,0.101,0.042,0.262,5.2,2.4,0.272,23.3,2.48,-16.2,-0.16
주효상,30,0,3.3,23.3,0.14,0.138,0.026,0.273,5.6,,0.261,1.8,2.14,-1.7,-0.13
김수산,10,0,20,20,1,0,0.175,0.167,1.3,,0.239,0.4,1.43,-0.8,-0.04
임동휘,18,0,5.6,38.9,0.14,0.067,0.102,0.25,0.1,,0.208,0.3,0.56,-1.8,-0.11
김주형,1,0,0,0,,0,0,0,,,0,-0.1,-4.05,-0.3,0
추재현,1,0,0,0,,0,0,0,,,0,-0.1,-4.05,-0.3,-0.03
윤영삼,0,,,,,,,,,,,,,,0
