NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*,,,,,,,,,,,,,,,
페게로,214,4.21,5.6,29.4,0.19,0.186,0.045,0.375,3,3.27,0.364,30.7,5.67,5.5,1.22,,,,,,,,,,,,,,,
김현수,595,1.85,9.1,8.7,1.04,0.133,0.066,0.316,3.1,4.71,0.366,86.1,6.01,16.1,3.57,,,,,,,,,,,,,,,
이형종,482,2.7,8.7,16.2,0.54,0.155,0.071,0.317,3.4,8.21,0.363,68.9,5.74,12.1,2.99,,,,,,,,,,,,,,,
채은성,513,2.34,4.7,12.9,0.36,0.119,0.043,0.341,3,3.43,0.364,73.6,5.84,13.2,3.16,,,,,,,,,,,,,,,
유강남,468,3.42,6.4,17.5,0.37,0.168,0.064,0.298,0.6,0,0.35,61.7,5,6.6,3.35,,,,,,,,,,,,,,,
조셉,217,4.15,6.5,21.2,0.3,0.152,0.058,0.313,1.7,0,0.347,28.2,5.11,2.7,0.91,,,,,,,,,,,,,,,
이천웅,613,0.33,9.3,13.4,0.7,0.066,0.07,0.359,5.2,3.65,0.353,82.6,5.49,10.4,3.98,,,,,,,,,,,,,,,
김재성,7,0,28.6,28.6,1,0,0.229,0.333,1.9,,0.341,0.9,5.9,0,0.04,,,,,,,,,,,,,,,
오지환,547,1.65,10.4,20.7,0.5,0.127,0.087,0.311,6.7,13.5,0.33,63.6,4.56,-0.8,3.37,,,,,,,,,,,,,,,
김민성,401,2,7.5,18.7,0.4,0.111,0.063,0.308,2.4,3.2,0.32,43.4,4.09,-3.8,1.66,,,,,,,,,,,,,,,
박용택,215,0.47,8.4,14,0.6,0.062,0.057,0.325,3.3,1.5,0.321,23.4,4.32,-1.9,0.34,,,,,,,,,,,,,,,
서상우,24,0,12.5,33.3,0.38,0.048,0.095,0.385,0.9,,0.303,2.3,3.58,-0.6,-0.04,,,,,,,,,,,,,,,
박지규,18,0,22.2,38.9,0.57,0,0.321,0.25,2.8,,0.296,1.6,3.93,-0.5,0.06,,,,,,,,,,,,,,,
전민수,105,0,8.6,17.1,0.5,0.074,0.066,0.299,2.3,0,0.294,9.1,3.15,-3.3,0.08,,,,,,,,,,,,,,,
신민재,93,0,8.6,18.3,0.47,0.038,0.089,0.297,6.3,0,0.291,7.9,3,-3.1,-0.01,,,,,,,,,,,,,,,
김용의,210,0,11.4,18.1,0.63,0.062,0.098,0.275,7.6,0,0.282,16.2,2.94,-8.5,-0.18,,,,,,,,,,,,,,,
홍창기,25,0,4,48,0.08,0.087,0.063,0.455,3.8,0,0.278,1.8,2.62,-1.1,0.02,,,,,,,,,,,,,,,
정주현,425,0.47,7.3,21.4,0.34,0.077,0.06,0.299,5.5,3.53,0.273,29.8,2.5,-20.2,0.01,,,,,,,,,,,,,,,
구본혁,95,1.05,6.3,17.9,0.35,0.047,0.068,0.206,4.8,1.33,0.226,3.1,1.14,-8.1,-0.28,,,,,,,,,,,,,,,
류형우,12,0,8.3,25,0.33,0,0.068,0.25,2.1,,0.218,0.3,0.82,-1.1,-0.04,,,,,,,,,,,,,,,
이성우,74,0,5.4,14.9,0.36,0.047,0.083,0.189,0.9,,0.212,1.6,0.72,-7.1,-0.33,,,,,,,,,,,,,,,
백승현,30,0,0,33.3,0,0.033,0,0.25,2.5,0,0.17,-0.4,-0.41,-3.9,-0.23,,,,,,,,,,,,,,,
양종민,49,0,4.1,30.6,0.13,0.046,0.034,0.2,0.2,,0.16,-1,-0.62,-6.8,-0.56,,,,,,,,,,,,,,,
윤진호,62,1.61,1.6,21,0.08,0.085,0.015,0.111,5.5,1,0.133,-2.6,-1.27,-9.9,-0.71,,,,,,,,,,,,,,,
김재율,9,0,0,0,,0,0,0.111,1.9,,0.105,-0.6,-1.98,-1.6,-0.13,,,,,,,,,,,,,,,
정상호,24,0,0,45.8,0,0.042,0,0.154,2.1,,0.094,-1.8,-1.92,-4.6,-0.33,,,,,,,,,,,,,,,
전준호,5,0,0,20,0,0,0,0,,,0,-0.7,-4.05,-1.3,-0.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
