NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*,,,,,,,,,,,,,,,
¹Îº´Çå,420,2.14,10,13.1,0.76,0.149,0.076,0.334,4.6,10.64,0.382,66.2,6.48,16.8,3.53,,,,,,,,,,,,,,,
ÀüÁØ¿ì,606,3.63,7.6,11.7,0.65,0.18,0.058,0.309,3.6,11.73,0.379,94,6.19,22.6,4.24,,,,,,,,,,,,,,,
Àª½¼,268,3.36,11.6,22.4,0.52,0.182,0.1,0.301,1,0,0.361,37.7,5.53,6.1,1.35,,,,,,,,,,,,,,,
ÀÌ´ëÈ£,549,2.91,8.7,11.8,0.74,0.151,0.071,0.297,1.3,0,0.36,76.9,5.57,12.3,1.79,,,,,,,,,,,,,,,
¼Õ¾Æ¼·,568,1.76,9.2,16.2,0.57,0.106,0.065,0.342,4.5,10.91,0.353,76.6,5.47,9.7,2.75,,,,,,,,,,,,,,,
¾Æ¼ö¾ÆÇì,194,1.03,13.4,12.4,1.08,0.117,0.104,0.283,6.9,2.4,0.334,23.1,4.88,0.3,0.94,,,,,,,,,,,,,,,
Ã¤ÅÂÀÎ,182,2.75,6,24.7,0.24,0.156,0.051,0.311,0.8,0,0.321,19.8,4.05,-1.6,0.25,,,,,,,,,,,,,,,
±èµ¿ÇÑ,85,0,7.1,17.7,0.4,0.051,0.051,0.349,4.1,0,0.313,8.7,3.91,-1.3,0.23,,,,,,,,,,,,,,,
°­·ÎÇÑ,306,1.31,4.3,35,0.12,0.135,0.039,0.365,6.9,5.09,0.298,27.6,3.31,-8.4,0.74,,,,,,,,,,,,,,,
°í½Â¹Î,89,0,4.5,18,0.25,0.121,0.031,0.309,4.4,,0.296,7.9,3.28,-2.6,0.08,,,,,,,,,,,,,,,
ÇãÀÏ,162,0.62,7.4,17.3,0.43,0.047,0.06,0.308,3.5,1.33,0.296,14.3,3.42,-4.7,0.11,,,,,,,,,,,,,,,
±è¹Î¼ö,37,0,2.7,37.8,0.07,0.088,0.062,0.4,0.1,,0.295,3.2,3.12,-1.1,0,,,,,,,,,,,,,,,
Á¤ÈÆ,222,0.9,10.4,21.2,0.49,0.063,0.098,0.289,4.4,2.67,0.293,19.1,3.26,-7,-0.06,,,,,,,,,,,,,,,
½Åº»±â,413,0.24,5.8,15,0.39,0.032,0.058,0.304,3,1.5,0.286,33.2,3.02,-15.4,0.6,,,,,,,,,,,,,,,
±è¹®È£,109,0,3.7,27.5,0.13,0.068,0.026,0.338,3.3,0,0.267,7.1,2.37,-5.7,-0.07,,,,,,,,,,,,,,,
³ª°æ¹Î,49,0,6.1,24.5,0.25,0.089,0.065,0.273,7.5,0,0.262,3,2.25,-2.8,-0.07,,,,,,,,,,,,,,,
ÀÌº´±Ô,22,0,9.1,31.8,0.29,0.105,0.115,0.25,0.4,,0.262,1.4,2.15,-1.2,-0.11,,,,,,,,,,,,,,,
ÇÑµ¿Èñ,207,0.97,8.7,27.5,0.32,0.08,0.067,0.277,2.3,1.33,0.263,12.9,2.26,-11.5,-0.41,,,,,,,,,,,,,,,
¿ÀÀ±¼®,228,0.44,8.8,18.9,0.47,0.025,0.072,0.272,2.2,0,0.258,13.3,2.16,-13.6,-0.67,,,,,,,,,,,,,,,
Á¤ÁØÇõ,11,0,0,54.6,0,0,0,0.6,3.1,,0.258,0.6,2.14,-0.7,-0.03,,,,,,,,,,,,,,,
¹®±ÔÇö,72,0,4.2,13.9,0.3,0.031,0.021,0.281,2.7,,0.25,3.7,1.87,-4.7,-0.27,,,,,,,,,,,,,,,
¾ÈÁß¿­,145,1.38,4.1,28.3,0.15,0.103,0.045,0.258,3.8,0,0.246,6.9,1.64,-10.1,-0.19,,,,,,,,,,,,,,,
¹è¼º±Ù,48,0,8.3,27.1,0.31,0.023,0.066,0.29,4,0,0.245,2.3,1.76,-3.4,-0.08,,,,,,,,,,,,,,,
±èÁØÅÂ,104,0,11.5,22.1,0.52,0.034,0.115,0.215,2.8,,0.236,4.2,1.46,-8.1,-0.44,,,,,,,,,,,,,,,
È²Áø¼ö,4,0,25,50,0.5,0,0.25,0,3.9,,0.18,0,-0.17,-0.5,-0.03,,,,,,,,,,,,,,,
³ªÁ¾´ö,209,1.44,4.3,42.1,0.1,0.07,0.064,0.208,1.2,0,0.18,-1,-0.16,-25.6,-1.41,,,,,,,,,,,,,,,
Á¤º¸±Ù,35,0,5.7,28.6,0.2,0,0.075,0.182,1.8,,0.171,-0.4,-0.39,-4.6,-0.22,,,,,,,,,,,,,,,
Á¶È«¼®,66,0,6.1,21.2,0.29,0.066,0.052,0.146,6.5,0,0.166,-1.1,-0.52,-8.8,-0.64,,,,,,,,,,,,,,,
½Å¿ë¼ö,20,5,0,20,0,0.15,0,0.067,3.9,0,0.151,-0.6,-0.85,-2.9,-0.19,,,,,,,,,,,,,,,
Àüº´¿ì,54,0,5.6,40.7,0.14,0.02,0.051,0.179,2.7,,0.134,-2.2,-1.32,-8.6,-0.79,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
