NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*,,,,,,,
·¯ÇÁ,568,3.87,14.1,15.3,0.92,0.223,0.104,0.312,3.2,9.43,0.406,100.7,7.47,33.9,4.18,,,,,,,
°ø¹Î±Ô,60,5,10,30,0.33,0.189,0.088,0.313,1.9,0,0.352,8,5.41,1,0.21,,,,,,,
±èÇå°ï,467,1.07,7.9,8.8,0.9,0.09,0.065,0.315,3.3,6.67,0.346,60,4.97,5,1.68,,,,,,,
±¸ÀÚ¿í,526,2.85,7.2,16.7,0.43,0.177,0.06,0.296,6.4,12.69,0.348,68.7,5.12,6.8,1.95,,,,,,,
ÀÌ¿ø¼®,455,4.18,9.5,16,0.59,0.195,0.081,0.252,2.1,3.62,0.346,58.7,4.99,5.2,1.98,,,,,,,
Àª¸®¾ö½¼,168,2.38,7.7,29.8,0.26,0.136,0.055,0.376,3.8,0,0.339,20.6,4.81,0.9,0.46,,,,,,,
ÀÌ¼º±Ô,46,4.35,4.4,34.8,0.13,0.186,0.049,0.36,1.9,1.33,0.339,5.7,4.5,0.2,0.15,,,,,,,
±è»ó¼ö,543,0.92,9.2,12.3,0.75,0.083,0.086,0.305,5.3,8.08,0.334,64.8,4.75,0.9,2.97,,,,,,,
¹Ú°è¹ü,204,1.96,10.8,22.1,0.49,0.131,0.098,0.32,4,4.44,0.336,24.6,4.67,0.6,1.01,,,,,,,
¹ÚÇÑÀÌ,85,2.35,10.6,20,0.53,0.122,0.077,0.304,2.2,0,0.327,9.7,4.58,-0.3,0.1,,,,,,,
ÀÌÇÐÁÖ,436,1.61,7.3,20.4,0.36,0.107,0.069,0.321,5.8,9.55,0.324,48.5,4.35,-2.9,1.78,,,,,,,
°­¹ÎÈ£,393,3.31,8.4,19.3,0.43,0.171,0.08,0.262,1.5,0,0.327,44.6,4.31,-1.7,1.83,,,,,,,
¹ÚÇØ¹Î,581,0.86,10,14.1,0.71,0.089,0.079,0.275,7.1,8.28,0.3,53.3,3.5,-15.1,1.26,,,,,,,
ÃÖ¼±È£,8,0,25,0,,0,0.208,0.167,5,0,0.298,0.7,3.91,-0.2,0.01,,,,,,,
ÃÖ¿µÁø,275,1.82,5.1,17.1,0.3,0.128,0.045,0.292,4.4,4.44,0.299,25,3.36,-7.4,0.23,,,,,,,
¹ÚÂùµµ,34,0,5.9,29.4,0.2,0.031,0.042,0.409,4.7,,0.291,2.9,3.23,-1.1,-0.02,,,,,,,
¼ÛÁØ¼®,56,1.79,3.6,25,0.14,0.118,0.037,0.297,1.4,0,0.282,4.3,2.65,-2.3,-0.08,,,,,,,
±èµ¿¿±,211,2.84,5.7,22.3,0.26,0.123,0.05,0.25,3.7,3,0.279,15.8,2.69,-9.1,-0.85,,,,,,,
±èµµÈ¯,106,1.89,7.6,34,0.22,0.129,0.06,0.304,2.4,0,0.266,6.8,2.34,-5.6,0.1,,,,,,,
¹é½Â¹Î,45,0,4.4,26.7,0.17,0.024,0.029,0.323,1.3,,0.25,2.3,1.8,-3,-0.21,,,,,,,
±èÀÀ¹Î,13,0,0,46.2,0,0.077,0,0.429,0.1,,0.247,0.6,1.56,-0.9,-0.02,,,,,,,
±èÈ£Àç,33,0,3,21.2,0.14,0.031,0.024,0.28,1.8,,0.234,1.3,1.26,-2.6,-0.16,,,,,,,
¼ÕÁÖÀÎ,35,2.86,5.7,17.1,0.33,0.097,0.049,0.208,1.2,0,0.235,1.4,1.21,-2.7,-0.27,,,,,,,
±è¼ºÈÆ,88,1.14,8,12.5,0.64,0.078,0.068,0.2,7.8,1.6,0.233,3.3,1.28,-7,-0.32,,,,,,,
¹Ú½Â±Ô,23,0,8.7,30.4,0.29,0,0.07,0.286,4.8,0,0.227,0.8,1.14,-1.9,-0.14,,,,,,,
±è¹Î¼ö,41,0,2.4,39,0.06,0.026,0.014,0.333,3.9,,0.211,0.8,0.7,-4,-0.15,,,,,,,
ÀÌ¼º°ï,28,0,0,21.4,0,0.107,0,0.227,2.4,,0.209,0.5,0.6,-2.8,-0.3,,,,,,,
¾ç¿ìÇö,1,0,0,0,,0,0,0,,,0,-0.1,-4.05,-0.3,-0.02,,,,,,,
±èÀçÇö,2,0,0,50,0,0,0,0,,,0,-0.3,-4.05,-0.5,-0.05,,,,,,,
ÀÌÇöµ¿,2,0,0,50,0,0,0,0,,,0,-0.3,-4.05,-0.5,-0.05,,,,,,,
