이름,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2루타,3루타,홈런,볼넷,고4,사구,삼진,보크,폭투,,,,,,,,
NAME,G,CG,SHO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,BABIP
채드벨,29,0,0,29,11,10,0,0,177.1,73,69,749,169,33,2,14,63,0,10,134,1,8,3.5,4.15,1.31,118.3,100.2,4.49,1.53,0.3
서폴드,31,0,0,31,12,11,0,0,192.1,84,75,810,191,28,4,8,54,1,8,135,0,8,3.51,3.49,1.27,118,119.3,4.22,1.73,0.305
정우람,57,0,0,0,4,3,26,0,58.1,11,10,237,57,8,0,4,16,4,1,48,1,2,1.54,3.32,1.25,268.5,125.1,3.82,2.59,0.317
안영명,67,0,0,0,4,7,0,13,62,27,27,273,82,14,1,5,13,0,3,48,1,2,3.92,3.68,1.53,105.7,112.8,1.2,-1.91,0.385
박상원,61,0,0,0,1,4,0,12,59,29,26,256,52,6,0,5,28,1,5,39,0,1,3.97,4.81,1.36,104.5,86.6,0.81,0.45,0.267
김진영,6,0,0,5,0,4,0,0,26.2,12,12,117,27,6,0,1,16,0,1,14,0,0,4.05,4.75,1.61,102.3,88.2,0.56,0.12,0.31
신정락,21,0,0,0,4,0,0,1,25.2,11,9,109,21,4,0,2,12,0,2,16,0,0,3.16,4.81,1.29,131.3,86.8,0.51,0.48,0.25
김이환,11,0,0,8,4,3,0,0,38,19,18,171,42,9,0,2,21,0,2,15,0,1,4.26,5.11,1.66,97.2,81.9,0.5,0.04,0.305
임준섭,34,0,0,6,1,3,0,1,49.1,30,23,230,56,14,1,1,28,0,1,26,0,6,4.2,4.38,1.7,98.7,95.9,0.17,-0.6,0.32
김성훈,15,0,0,1,0,1,0,0,22.1,12,12,104,24,5,0,3,15,0,1,26,0,6,4.84,4.97,1.75,85.7,83.6,0.16,-0.52,0.356
장민재,26,1,0,22,6,8,0,0,119.1,76,72,526,150,25,1,14,27,0,6,103,0,3,5.43,4.03,1.48,76.3,102.7,0.16,-1.45,0.362
김경태,17,0,0,0,0,0,0,0,11,5,5,54,14,4,0,0,8,0,0,10,0,2,4.09,3.77,2,101.3,111.8,0.16,-0.56,0.4
박윤철,15,0,0,3,0,1,0,0,30,19,17,145,22,3,0,4,30,0,3,21,0,2,5.1,7.04,1.73,81.2,59.4,0.13,-0.21,0.207
김진욱,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,1,0,0,0,0,9.4,1,,44.3,0.04,0,0
송창현,3,0,0,2,0,1,0,0,12.2,9,9,57,15,1,0,4,4,0,0,5,0,0,6.39,7.67,1.5,64.8,54,0.03,-0.26,0.25
황영국,6,0,0,0,0,0,0,0,4,3,3,20,8,0,0,2,1,0,0,6,0,0,6.75,7.65,2.25,61.4,53.4,-0.02,-0.12,0.546
김종수,35,0,0,0,2,0,0,0,31,21,20,148,30,4,0,4,33,0,1,28,0,2,5.81,6.56,2.03,71.3,63.7,-0.08,-0.17,0.321
송은범,37,0,0,0,0,3,1,4,35,22,20,159,44,2,1,4,13,2,1,15,0,3,5.14,5.06,1.63,80.6,82.2,-0.09,-0.19,0.328
윤규진,3,0,0,0,0,0,0,0,4.1,5,5,20,6,2,1,0,1,0,0,1,0,0,10.38,3.63,1.62,39.9,115.4,-0.1,-0.03,0.333
송창식,1,0,0,0,0,0,0,0,0.1,2,2,4,3,1,0,0,0,0,0,1,0,0,54,-2.6,9,7.7,-164.4,-0.16,-0.26,1
이충호,1,0,0,0,0,0,0,0,1,5,5,10,6,3,0,1,1,0,0,0,0,1,45,19.4,7,9.2,21.3,-0.16,0,0.625
윤형배,3,0,0,0,0,0,0,0,3.2,7,7,22,8,1,0,1,3,0,0,2,0,0,17.18,8.31,3,24.1,50,-0.2,0,0.438
서균,7,0,0,0,0,0,0,0,4.1,8,7,27,10,4,0,0,3,0,0,3,0,0,14.54,4.1,3,28.5,102.8,-0.27,-0.08,0.476
김범수,45,0,0,16,5,9,1,1,103,70,65,485,115,19,3,15,61,1,10,85,0,9,5.68,5.68,1.71,72.9,73.1,-0.29,-1.5,0.321
이태양,55,0,0,1,1,6,0,10,66.2,44,43,283,74,11,2,8,13,0,3,64,0,4,5.81,3.76,1.31,71.4,109.8,-0.39,-1.57,0.342
김재영,5,0,0,1,0,0,0,0,8.1,12,12,41,14,4,0,1,3,0,2,4,0,0,12.96,5.8,2.04,32,71.5,-0.51,-0.39,0.419
문동욱,12,0,0,1,1,1,0,0,15.2,25,21,91,36,6,0,3,4,0,3,12,0,1,12.06,5.7,2.55,34.3,72.5,-0.89,-0.63,0.485
