이름,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2루타,3루타,홈런,볼넷,고4,사구,삼진,보크,폭투,,,,,,,,
NAME,G,CG,SHO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,BABIP
켈리,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33,3,7,41,0,16,126,0,12,2.55,3.46,1.14,161.3,118.7,3.98,2.39,0.284
고우석,64,0,0,0,8,2,34,1,70,13,12,284,47,7,1,4,29,4,4,76,0,2,1.54,3.22,1.09,266.1,126.7,3.89,3.58,0.254
윌슨,30,1,0,30,14,7,0,0,185,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,3.27,1.16,140.6,125.4,3.4,1.88,0.294
차우찬,29,0,0,28,13,8,0,0,168.1,87,77,730,181,30,1,16,59,0,5,124,0,13,4.12,4.31,1.43,99.7,94.1,1.44,0.19,0.316
김대현,41,0,0,2,5,4,0,8,65.2,31,28,282,63,11,1,2,27,1,4,39,0,3,3.84,3.98,1.37,107,103.4,0.99,1.36,0.296
진해수,73,0,0,0,3,1,0,20,43,17,16,188,44,3,3,2,16,0,2,38,0,0,3.35,3.5,1.4,122.6,117,0.83,-0.02,0.326
정우영,56,0,0,0,4,6,1,16,65.1,30,27,273,57,9,2,2,20,5,8,38,1,3,3.72,3.69,1.18,110.4,111.6,0.66,0.63,0.27
류제국,11,0,0,11,0,2,0,0,53.1,27,25,243,57,7,2,5,26,1,4,31,0,2,4.22,5.09,1.56,97.3,79.9,0.59,-0.58,0.299
문광은,32,0,0,0,1,1,1,3,33,15,15,141,35,5,1,3,13,0,1,26,0,1,4.09,4.28,1.46,100.4,94.7,0.33,0.92,0.333
여건욱,25,0,0,0,0,0,0,0,29.2,14,13,130,35,11,1,2,8,0,1,24,0,1,3.94,3.57,1.45,104.1,114,0.29,-0.22,0.347
이동현,5,0,0,0,0,0,0,0,5,0,0,20,6,0,0,0,0,0,0,5,0,0,0,1.4,1.2,,299.7,0.2,0.03,0.4
이우찬,30,0,0,13,5,4,0,2,91,55,49,398,78,14,1,5,66,1,4,58,0,5,4.85,5.12,1.58,84.7,80.1,0.16,-0.14,0.28
임찬규,30,0,0,13,2,5,0,2,88.2,51,49,392,84,20,3,10,46,0,7,72,0,7,4.97,5.04,1.47,82.5,80.3,0.15,-1.21,0.288
강정현,7,0,0,1,0,0,0,0,10.2,6,6,48,9,1,0,3,6,0,2,8,0,0,5.06,7.81,1.41,81.1,51,0.15,0.13,0.207
한선태,6,0,0,0,0,0,0,0,7.1,3,3,29,6,0,0,0,1,0,1,4,0,0,3.68,3.13,0.96,111.5,132.8,0.1,0.01,0.261
김정후,2,0,0,0,0,0,0,0,1.2,0,0,7,1,0,0,0,1,0,0,1,0,0,0,4,1.2,,103.7,0.06,-0.01,0.2
오석주,3,0,0,0,0,0,0,0,5,3,3,24,6,1,0,2,3,0,0,4,0,1,5.4,8.8,1.8,76,44.8,0.04,0,0.267
정찬헌,13,0,0,0,1,1,6,0,10,5,2,46,11,4,0,0,6,0,0,11,0,0,1.8,3,1.7,228.1,138.1,0.04,-0.3,0.393
임지섭,8,0,0,0,0,0,0,0,6.2,4,2,33,5,0,0,0,8,0,1,9,0,0,2.7,4.75,1.95,152,86.7,0.01,-0.46,0.333
이상규,1,0,0,0,0,0,0,0,0.1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,21.4,3,,19.1,0.01,0,0
유원석,2,0,0,0,0,0,0,0,3.1,2,2,17,2,0,0,1,5,0,0,4,0,0,5.4,9.4,2.1,76,42.6,0,0.04,0.143
심수창,5,0,0,1,1,1,0,0,11.2,8,8,57,17,3,0,1,7,0,0,12,0,0,6.17,4.26,2.06,66.5,95.2,-0.04,0,0.432
이상영,3,0,0,0,0,0,0,0,2.2,5,5,16,9,2,0,1,0,0,1,1,0,0,16.88,8.65,3.38,24.3,45.6,-0.16,-0.01,0.615
최동환,18,0,0,0,1,0,0,0,23,17,17,107,25,7,0,4,11,0,2,13,0,1,6.65,6.23,1.57,61.7,64.6,-0.18,-0.3,0.273
송은범,26,0,0,0,2,3,0,5,25,16,15,122,36,3,1,2,10,2,2,21,0,0,5.4,3.96,1.84,76,102.6,-0.27,-0.71,0.41
장원삼,8,0,0,3,0,2,0,0,14.2,13,13,68,20,4,0,3,3,0,2,7,0,0,7.98,6.13,1.57,51.5,65.2,-0.32,-0.5,0.321
배재준,19,0,0,12,3,4,0,0,62,42,36,282,61,17,1,3,33,0,8,44,0,3,5.23,4.6,1.52,78.6,89.1,-0.34,-0.63,0.299
신정락,23,0,0,1,1,1,0,4,19,22,20,98,27,4,0,4,9,0,4,19,0,4,9.47,6.19,1.9,43.3,64.4,-1.21,-0.77,0.383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
