이름,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2루타,3루타,홈런,볼넷,고4,사구,삼진,보크,폭투,,,,,,,,
NAME,G,CG,SHO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,BABIP
레일리,30,0,0,30,5,14,0,0,181,88,78,791,191,32,4,10,65,1,8,140,1,10,3.88,3.77,1.41,108.1,111.1,4.08,0.2,0.323
진명호,60,0,0,0,3,2,0,9,63.1,24,24,273,56,12,0,4,35,4,1,51,0,3,3.41,4.13,1.44,122.9,101.2,1.88,0.68,0.294
장시환,27,0,0,27,6,13,0,0,125.1,78,69,570,147,29,1,12,58,1,2,109,0,17,4.95,4.32,1.64,84.6,97.2,1.18,-0.61,0.351
박시영,43,0,0,6,1,1,0,4,61.2,30,29,262,51,10,1,5,27,0,4,60,0,7,4.23,4.02,1.27,99.1,104.3,1.05,0.73,0.277
박세웅,12,0,0,12,3,6,0,0,60,33,28,263,66,12,3,3,23,0,0,44,0,4,4.2,3.74,1.48,99.8,112.2,0.98,-0.45,0.328
김건국,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.5,94.1,91.6,0.9,-0.27,0.329
손승락,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,3.56,1.39,106.7,117.4,0.85,-1.04,0.313
톰슨,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.4,0.82,-0.26,0.287
박진형,41,0,0,0,2,1,5,5,40.1,19,18,169,40,3,0,6,11,3,0,40,0,5,4.02,3.95,1.26,104.4,106.5,0.76,-1.02,0.312
고효준,75,0,0,0,2,7,0,15,62.1,34,33,280,58,13,1,6,36,6,3,72,0,11,4.76,3.93,1.51,88,106.2,0.7,-1.37,0.331
다익손,17,0,0,16,3,8,0,0,83.2,52,46,369,99,10,1,8,22,1,4,59,1,3,4.95,4.13,1.45,84.7,101.6,0.66,-0.96,0.332
서준원,33,0,0,16,4,11,0,0,97,61,59,443,117,25,1,10,38,0,11,60,1,1,5.47,5.02,1.6,76.6,83.5,0.63,-0.84,0.335
조무근,8,0,0,0,0,0,0,0,9.2,2,2,43,6,2,1,0,5,0,3,5,0,0,1.86,4.85,1.14,225.2,85.3,0.3,-0.03,0.207
김현수,6,0,0,0,0,1,0,0,6.1,2,1,24,3,1,0,0,1,0,0,4,0,1,1.42,2.61,0.63,295.1,159.8,0.2,0,0.158
홍성민,12,0,0,0,0,0,0,1,12.2,6,6,57,17,4,0,0,0,0,1,7,0,2,4.26,2.53,1.34,98.4,164.2,0.2,-0.12,0.347
송승준,11,0,0,1,0,1,0,0,14.1,7,7,64,16,3,0,2,6,0,0,13,0,0,4.4,4.66,1.54,95.4,90.4,0.19,-0.42,0.326
정성종,32,0,0,0,1,1,0,0,49.2,33,30,231,64,10,1,6,24,3,4,24,0,4,5.44,5.52,1.77,77.1,75.9,0.19,-0.09,0.345
차재용,9,0,0,0,0,0,0,0,9.2,6,4,47,9,2,0,0,8,1,0,7,0,1,3.72,4.13,1.76,112.6,100.6,0.09,-0.03,0.281
박진,2,0,0,0,0,0,0,0,1,1,1,6,2,2,0,0,1,0,0,1,0,0,9,4.4,3,46.6,94.8,-0.02,-0.19,0.5
