NAME,WAR,FIP,LOB,BABIP
린드블럼,6.86,2.87,0.79,0.284
유희관,3.55,4.02,0.73,0.287
이영하,3.03,3.99,0.7,0.273
후랭코프,2.59,3.14,0.72,0.315
윤명준,1.62,3.73,0.77,0.284
이용찬,1.35,4.31,0.73,0.32
최원준,1.29,3.29,0.78,0.307
이형범,1.21,4.52,0.76,0.276
김승회,1,2.93,0.69,0.308
함덕주,0.82,4.78,0.76,0.229
박치국,0.36,4.29,0.75,0.353
배영수,0.21,4.9,0.67,0.282
이현승,0.16,2.07,0.5,0.235
김민규,0.07,4.9,1,0.286
홍상삼,0.04,6.58,0.81,0.267
강동연,0,7.4,0.96,0.336
이현호,-0.01,4.44,0.67,0.556
장원준,-0.08,8.4,0.78,0.273
권혁,-0.21,4.06,0.54,0.375
채드벨,4.49,4.15,0.76,0.3
서폴드,4.22,3.49,0.7,0.305
정우람,3.82,3.32,0.92,0.317
안영명,1.2,3.68,0.78,0.385
박상원,0.81,4.81,0.72,0.267
김진영,0.56,4.75,0.75,0.31
신정락,0.51,4.81,0.75,0.25
김이환,0.5,5.11,0.74,0.305
임준섭,0.17,4.38,0.66,0.32
김성훈,0.16,4.97,0.78,0.356
장민재,0.16,4.03,0.65,0.362
김경태,0.16,3.77,0.77,0.4
박윤철,0.13,7.04,0.73,0.207
김진욱,0.04,9.4,1,0
송창현,0.03,7.67,0.75,0.25
황영국,-0.02,7.65,0.97,0.546
김종수,-0.08,6.56,0.74,0.321
송은범,-0.09,5.06,0.69,0.328
윤규진,-0.1,3.63,0.29,0.333
송창식,-0.16,-2.6,0.33,1
이충호,-0.16,19.4,0.36,0.625
윤형배,-0.2,8.31,0.42,0.438
서균,-0.27,4.1,0.38,0.476
김범수,-0.29,5.68,0.7,0.321
이태양,-0.39,3.76,0.58,0.342
김재영,-0.51,5.8,0.4,0.419
문동욱,-0.89,5.7,0.46,0.485
박주홍,-0.99,6.74,0.61,0.344
김민우,-1.23,4.79,0.53,0.332
양현종,7.35,2.63,0.75,0.303
문경찬,2.88,2.55,0.88,0.277
박준표,2.14,3.74,0.8,0.23
전상현,1.83,3.04,0.74,0.269
윌랜드,1.61,4.23,0.69,0.347
고영창,1.19,4.18,0.77,0.313
임기준,0.65,4.09,0.69,0.272
차명진,0.43,4.46,0.71,0.312
하준영,0.19,4.35,0.71,0.353
박진태,0.18,5.44,0.79,0.357
임기영,0.06,5.05,0.7,0.375
황인준,0.01,4.82,0.68,0.343
김승범,-0.06,6.4,0.6,0.571
김기훈,-0.12,6.77,0.68,0.228
유승철,-0.19,10.4,0.58,0.25
이민우,-0.19,3.84,0.63,0.37
박정수,-0.2,5.6,0.53,0.5
장지수,-0.23,5.91,0.55,0.333
김세현,-0.24,5.71,0.64,0.344
김윤동,-0.29,4.86,0.69,0.355
이준영,-0.36,4.01,0.57,0.359
강찬영,-0.41,7.51,0.59,0.342
터너,-0.53,4.31,0.62,0.331
양승철,-0.67,7.2,0.47,0.357
홍건희,-1.1,5.36,0.59,0.361
쿠에바스,3.44,4.43,0.73,0.257
알칸타라,2.6,3.98,0.71,0.307
배제성,2.21,3.96,0.73,0.311
주권,2.08,4,0.78,0.256
김재윤,1.68,3.42,0.78,0.2
전유수,0.88,3.22,0.67,0.306
김대유,0.69,3.85,0.84,0.282
이대은,0.53,5.12,0.71,0.288
김민,0.46,4.95,0.7,0.323
김민수,0.45,4.73,0.7,0.304
하준호,0.28,3.78,1.06,0.177
이종혁,0.16,4.15,0.9,0.353
조현우,0.13,3.4,0.75,0.3
조한욱,0.04,4.53,0.8,0.364
강백호,0.04,6.4,1,0
이선우,0,10.6,1.67,0
최건,-0.02,9.4,0.5,0
조근종,-0.06,5.18,0.73,0.359
김태오,-0.08,7.4,0.73,0.438
전용주,-0.2,13.07,0.57,0.385
손동현,-0.21,4.5,0.67,0.318
금민철,-0.22,5.32,0.66,0.308
류희운,-0.35,5.12,0.4,0.571
이정현,-0.37,7.15,0.44,0.257
이상동,-0.39,8.93,0.29,0.333
정성곤,-0.73,4.78,0.66,0.326
엄상백,-0.74,6.91,0.63,0.33
요키시,4.23,3.32,0.71,0.29
브리검,3.69,3.27,0.72,0.303
최원태,3.1,3.26,0.69,0.314
조상우,1.75,2.92,0.79,0.321
김상수,1.73,3.51,0.8,0.324
오주원,1.6,2.69,0.75,0.316
김성민,1.4,2.75,0.74,0.298
윤영삼,1.29,3.32,0.76,0.314
양현,1.2,3.38,0.79,0.25
한현희,0.84,3.28,0.67,0.301
이승호,0.77,4.4,0.67,0.321
이영준,0.74,2.71,0.75,0.348
김동준,0.64,3.89,0.69,0.326
김선기,0.37,4.51,0.73,0.278
신재영,0.37,3.74,0.72,0.344
임규빈,0.03,-0.6,1,0.5
안우진,-0.01,4.09,0.64,0.335
윤정현,-0.04,4.4,0.5,0.333
