이름,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2루타,3루타,홈런,볼넷,고4,사구,삼진,보크,폭투,,,,,,,,
NAME,G,CG,SHO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,BABIP
김광현,31,0,0,30,17,6,0,0,190.1,64,53,786,198,17,0,13,38,1,2,180,0,8,2.51,3.01,1.24,169.8,142.2,6.39,3.28,0.338
산체스,28,0,0,28,17,5,0,0,165,51,48,671,151,18,2,2,42,0,2,148,2,11,2.62,2.57,1.17,162.5,163.8,5.93,3.64,0.314
하재훈,61,0,0,0,5,3,36,3,59,13,13,245,47,11,0,1,26,2,1,64,1,0,1.98,2.73,1.24,214.6,154.7,3.09,3.47,0.311
문승원,26,0,0,23,11,7,0,2,144,63,62,586,130,13,5,23,33,1,3,99,0,0,3.88,4.83,1.13,109.8,89.6,2.89,0.72,0.251
서진용,72,0,0,0,3,1,4,33,68,19,18,279,53,9,2,2,28,4,2,76,0,1,2.38,2.7,1.19,178.6,157.4,2.63,2.87,0.302
박종훈,28,0,0,28,8,11,0,0,144,72,62,643,157,29,0,12,59,0,13,100,0,1,3.88,4.6,1.5,109.8,92.8,2.1,0.73,0.32
소사,16,0,0,16,9,3,0,0,94.1,42,40,387,85,6,0,15,23,0,2,96,1,3,3.82,4.23,1.15,111.5,103,1.93,1.38,0.281
다익손,12,0,0,12,3,2,0,0,65.2,29,26,280,65,13,2,7,18,0,2,58,0,1,3.56,3.94,1.26,119.4,109.4,1.41,0.38,0.301
박민호,47,0,0,0,3,1,0,4,50.1,17,15,209,49,10,0,2,14,0,4,22,0,0,2.68,4.12,1.25,158.7,102.7,1.26,-0.28,0.283
정영일,44,0,0,0,1,2,1,8,42,15,15,175,32,3,1,1,22,2,1,35,0,2,3.21,3.55,1.29,132.4,118.9,1.17,0.44,0.274
김태훈,71,0,0,0,4,5,7,27,69.2,33,31,296,62,8,0,4,26,0,4,76,0,7,4,3.26,1.26,106.3,130.9,1.05,0.42,0.315
박희수,34,0,0,0,0,1,1,2,28.2,8,4,124,29,2,0,1,13,0,3,14,0,0,1.26,4.55,1.47,338.9,92.7,0.91,0.28,0.308
백승건,15,0,0,0,0,0,0,0,19.1,5,5,81,16,4,0,1,12,0,1,14,0,1,2.33,4.64,1.45,182.8,91.1,0.56,-0.51,0.289
신재웅,20,0,0,1,1,0,0,0,21.2,8,8,88,14,4,0,1,10,0,1,14,0,0,3.32,4.23,1.11,128.1,99.9,0.4,0.27,0.217
강지광,25,0,0,0,2,4,0,6,27.1,14,12,115,24,5,0,0,11,1,0,15,0,3,3.95,3.4,1.28,107.7,122.9,0.29,0.46,0.286
이케빈,1,0,0,1,0,0,0,0,3,1,1,14,2,0,0,0,3,0,0,3,0,1,3,4.4,1.67,141.9,94.8,0.13,-0.03,0.25
김주한,11,0,0,1,1,1,0,1,12,7,7,56,12,4,1,0,7,1,2,10,0,2,5.25,3.74,1.58,81.1,112.6,0.02,-0.41,0.343
김정우,1,0,0,0,0,0,0,0,1,1,1,6,2,0,0,0,1,0,0,0,0,0,9,6.4,3,47.3,65.2,-0.01,0,0.4
