"","NAME","WAR","wRC","wRAA","wOBA"
"1","김재환",4.72,98.2,19.1,0.38
"2","페르난데스",4.41,122.3,36,0.407
"3","최주환",4.02,87.5,13.6,0.371
"4","오재일",3.79,93.6,24.4,0.397
"5","박건우",3.59,85.8,14.2,0.374
"6","허경민",3.56,73.7,10.9,0.37
"7","정수빈",2.98,73.1,0.8,0.345
"8","김재호",1.99,55.7,-3.6,0.334
"9","박세혁",1.78,48.6,-5.8,0.327
"10","이유찬",0.48,11.7,-2.2,0.319
"11","류지혁",0.42,7.1,3,0.457
"12","오재원",0.31,17.7,-5.1,0.309
"13","김인태",0.25,11.5,-2.5,0.316
"14","최용제",0.22,5.6,-0.9,0.323
"15","장승현",0.12,2.6,-0.3,0.329
"16","신성현",0.08,1.9,0.9,0.498
"17","서예일",0.06,2.6,-1.2,0.295
"18","권민석",0.01,4.3,-2.7,0.286
"19","양찬열",0,2.3,-1.1,0.295
