"","NAME","WAR","wRC","wRAA","wOBA"
"1","최재훈",2.74,55,4.5,0.357
"2","이용규",2.2,63.8,0.7,0.345
"3","반즈",1.24,43.2,1.4,0.348
"4","노시환",0.85,39.4,-11.3,0.31
"5","하주석",0.85,29.1,-7.8,0.312
"6","정은원",0.74,33.9,-5.1,0.324
"7","이해창",0.47,16.2,-1.5,0.33
"8","강경학",0.44,26.9,-4.2,0.323
"9","정진호",0.38,36,-6.1,0.322
"10","김민하",0.37,12.2,1.2,0.36
"11","박정현",0.14,6.9,-1.5,0.317
"12","노수광",0.07,22.8,-9.5,0.299
"13","김문호",0.05,5.4,-1.4,0.312
"14","최승준",0.04,0.8,0.3,0.426
"15","허관회",0.04,0.5,0.2,0.471
"16","김현민",0.03,0.8,0.1,0.377
"17","김진욱",0,-0.2,-0.3,0
"18","양성우",-0.06,0.1,-1,0.209
"19","조한민",-0.07,2.9,-4,0.255
"20","박상언",-0.07,2.1,-4,0.244
"21","최진행",-0.07,24.2,-7.3,0.308
"22","이도윤",-0.08,0.9,-2.4,0.232
"23","김회성",-0.1,1.2,-2.1,0.245
"24","정기훈",-0.12,1.9,-2.8,0.253
"25","장운호",-0.16,0.9,-2.9,0.228
"26","김지수",-0.17,0.5,-2.9,0.213
"27","박한결",-0.17,-0.3,-3.4,0.179
"28","장진혁",-0.21,1.7,-3.2,0.244
"29","송광민",-0.22,24.8,-13.6,0.29
"30","오선진",-0.25,14.3,-14.2,0.268
"31","노태형",-0.26,7.4,-7.5,0.267
"32","임종찬",-0.32,9.4,-6.2,0.283
"33","유장혁",-0.44,0.9,-5.1,0.215
"34","김태균",-0.53,20.6,-12.1,0.287
"35","호잉",-0.54,8.4,-9.1,0.265
"36","이동훈",-0.58,-2.5,-7.7,0.116
"37","최인호",-0.81,4.1,-13.2,0.228
"38","이성열",-0.9,18.2,-13.8,0.278
