NAME,WAR,wRC,wRAA,wOBA
김재환,4.72,98.2,19.1,0.38
페르난데스,4.41,122.3,36,0.407
최주환,4.02,87.5,13.6,0.371
오재일,3.79,93.6,24.4,0.397
박건우,3.59,85.8,14.2,0.374
허경민,3.56,73.7,10.9,0.37
정수빈,2.98,73.1,0.8,0.345
김재호,1.99,55.7,-3.6,0.334
박세혁,1.78,48.6,-5.8,0.327
이유찬,0.48,11.7,-2.2,0.319
류지혁,0.42,7.1,3,0.457
오재원,0.31,17.7,-5.1,0.309
김인태,0.25,11.5,-2.5,0.316
최용제,0.22,5.6,-0.9,0.323
장승현,0.12,2.6,-0.3,0.329
신성현,0.08,1.9,0.9,0.498
서예일,0.06,2.6,-1.2,0.295
권민석,0.01,4.3,-2.7,0.286
양찬열,0,2.3,-1.1,0.295
최재훈,2.74,55,4.5,0.357
이용규,2.2,63.8,0.7,0.345
반즈,1.24,43.2,1.4,0.348
노시환,0.85,39.4,-11.3,0.31
하주석,0.85,29.1,-7.8,0.312
정은원,0.74,33.9,-5.1,0.324
이해창,0.47,16.2,-1.5,0.33
강경학,0.44,26.9,-4.2,0.323
정진호,0.38,36,-6.1,0.322
김민하,0.37,12.2,1.2,0.36
박정현,0.14,6.9,-1.5,0.317
노수광,0.07,22.8,-9.5,0.299
김문호,0.05,5.4,-1.4,0.312
최승준,0.04,0.8,0.3,0.426
허관회,0.04,0.5,0.2,0.471
김현민,0.03,0.8,0.1,0.377
김진욱,0,-0.2,-0.3,0
양성우,-0.06,0.1,-1,0.209
조한민,-0.07,2.9,-4,0.255
박상언,-0.07,2.1,-4,0.244
최진행,-0.07,24.2,-7.3,0.308
이도윤,-0.08,0.9,-2.4,0.232
김회성,-0.1,1.2,-2.1,0.245
정기훈,-0.12,1.9,-2.8,0.253
장운호,-0.16,0.9,-2.9,0.228
김지수,-0.17,0.5,-2.9,0.213
박한결,-0.17,-0.3,-3.4,0.179
장진혁,-0.21,1.7,-3.2,0.244
송광민,-0.22,24.8,-13.6,0.29
오선진,-0.25,14.3,-14.2,0.268
노태형,-0.26,7.4,-7.5,0.267
임종찬,-0.32,9.4,-6.2,0.283
유장혁,-0.44,0.9,-5.1,0.215
김태균,-0.53,20.6,-12.1,0.287
호잉,-0.54,8.4,-9.1,0.265
이동훈,-0.58,-2.5,-7.7,0.116
최인호,-0.81,4.1,-13.2,0.228
이성열,-0.9,18.2,-13.8,0.278
터커,5.71,124.1,41.4,0.419
최형우,5.71,133.9,55.3,0.45
나지완,3.08,91.9,19,0.383
최원준,2.47,61.7,7.7,0.365
김선빈,2.25,56.4,10.4,0.378
이창진,0.71,17.1,4.2,0.392
백용환,0.51,13.2,-0.7,0.336
나주환,0.5,24.7,-4.4,0.32
한승택,0.5,25.1,-9.2,0.303
유민상,0.48,53.9,-5.8,0.329
황대인,0.47,21.2,3.1,0.37
김호령,0.28,16.7,-4.1,0.313
류지혁,0.17,3.2,0.6,0.376
이진영,0.1,3.1,-0.5,0.323
김민식,0.07,19.3,-11.8,0.286
오선우,0.07,8.3,-1.2,0.324
김주찬,0.04,2.8,0.4,0.371
박민,0.01,0.3,0,0.366
최정민,-0.04,0.4,-0.9,0.241
고장혁,-0.08,0.3,-1.4,0.217
황윤호,-0.09,4.5,-5,0.264
이정훈,-0.1,-0.7,-1.2,0
김영환,-0.16,-0.7,-1.7,0.092
문선재,-0.2,-0.2,-1,0.157
이우성,-0.22,4.1,-4.7,0.262
장영석,-0.29,0.3,-4.5,0.202
홍종표,-0.34,5.1,-6.4,0.259
최정용,-0.35,1.6,-6.1,0.224
김태진,-0.58,11.6,-13.6,0.261
김규성,-1.01,5.4,-18.5,0.226
박찬호,-1.15,28.7,-40.8,0.254
로하스,7.62,146.4,65.4,0.466
황재균,5.06,101.2,23.7,0.39
강백호,4.69,111.9,37.9,0.421
배정대,3.6,89.9,10.7,0.364
박경수,2.41,61.6,10.3,0.374
장성우,2.18,54.6,-4.3,0.332
조용호,1.53,64,1.4,0.347
유한준,0.61,55.5,0.5,0.345
문상철,0.36,21.3,-0.8,0.338
박승욱,0.34,14.9,-1.9,0.327
허도환,0.22,6.4,-1.3,0.317
강현우,0.04,2.3,-1.9,0.276
이홍구,0.02,3.9,-1.8,0.296
