"","NAME","WAR","wRC","wRAA","wOBA"
"1","터커",5.71,124.1,41.4,0.419
"2","최형우",5.71,133.9,55.3,0.45
"3","나지완",3.08,91.9,19,0.383
"4","최원준",2.47,61.7,7.7,0.365
"5","김선빈",2.25,56.4,10.4,0.378
"6","이창진",0.71,17.1,4.2,0.392
"7","백용환",0.51,13.2,-0.7,0.336
"8","나주환",0.5,24.7,-4.4,0.32
"9","한승택",0.5,25.1,-9.2,0.303
"10","유민상",0.48,53.9,-5.8,0.329
"11","황대인",0.47,21.2,3.1,0.37
"12","김호령",0.28,16.7,-4.1,0.313
"13","류지혁",0.17,3.2,0.6,0.376
"14","이진영",0.1,3.1,-0.5,0.323
"15","김민식",0.07,19.3,-11.8,0.286
"16","오선우",0.07,8.3,-1.2,0.324
"17","김주찬",0.04,2.8,0.4,0.371
"18","박민",0.01,0.3,0,0.366
"19","최정민",-0.04,0.4,-0.9,0.241
"20","고장혁",-0.08,0.3,-1.4,0.217
"21","황윤호",-0.09,4.5,-5,0.264
"22","이정훈",-0.1,-0.7,-1.2,0
"23","김영환",-0.16,-0.7,-1.7,0.092
"24","문선재",-0.2,-0.2,-1,0.157
"25","이우성",-0.22,4.1,-4.7,0.262
"26","장영석",-0.29,0.3,-4.5,0.202
"27","홍종표",-0.34,5.1,-6.4,0.259
"28","최정용",-0.35,1.6,-6.1,0.224
"29","김태진",-0.58,11.6,-13.6,0.261
"30","김규성",-1.01,5.4,-18.5,0.226
"31","박찬호",-1.15,28.7,-40.8,0.254
