"","NAME","WAR","wRC","wRAA","wOBA"
"1","김현수",4.35,113.8,33.8,0.408
"2","라모스",5.24,90.8,27.2,0.409
"3","오지환",4.33,88.3,11.9,0.367
"4","홍창기",3.94,83.7,18.1,0.385
"5","유강남",2.89,59.2,-2.8,0.337
"6","이형종",2.73,58.4,16,0.401
"7","채은성",2.08,67.8,6.9,0.361
"8","김민성",0.96,36.7,-7,0.319
"9","이천웅",0.62,37.4,-8.5,0.315
"10","박용택",0.39,29.2,-1.7,0.335
"11","손호영",0.29,5,1,0.38
"12","신민재",0.23,4.2,0.1,0.349
"13","양석환",0.18,13.5,-3.8,0.31
"14","정주현",0.14,34.3,-13.8,0.3
"15","김호은",0.1,11.5,-2.7,0.315
"16","이성우",0.09,7.5,-3.5,0.295
"17","장준원",0.04,5.2,-3.4,0.283
"18","전민수",0.01,0.6,0,0.335
"19","한석현",0,0.1,-0.3,0.244
"20","박재욱",-0.01,1.1,-1.1,0.266
"21","백승현",-0.09,2.7,-2.4,0.273
"22","김용의",-0.13,5.6,-3.9,0.281
"23","최재원",-0.15,-1,-1.8,0
"24","정근우",-0.29,11.6,-10.8,0.27
"25","이재원",-0.29,-1.1,-3.6,0.127
"26","구본혁",-0.37,2.7,-9.9,0.224
