"","NAME","WAR","wRC","wRAA","wOBA"
"1","최정",4.77,101.4,30,0.408
"2","로맥",4.32,110.9,35.3,0.414
"3","한유섬",1.23,38.2,7.9,0.383
"4","오태곤",0.89,26.8,0.2,0.345
"5","채태인",0.87,30.9,6.3,0.382
"6","김성현",0.66,38.4,-12.1,0.307
"7","최항",0.62,19.1,-1.2,0.334
"8","김강민",0.6,34.7,-7,0.318
"9","박성한",0.24,11,-3.7,0.305
"10","김성민",0.2,3.7,1.6,0.457
"11","최지훈",0.18,45,-21.9,0.294
"12","노수광",0.15,9.6,-1.3,0.325
"13","유서준",0.06,2.6,-0.7,0.31
"14","김창평",0.02,6,-5.8,0.269
"15","고종욱",0.02,30.9,-6.2,0.318
"16","류효승",-0.02,0.8,-0.3,0.3
"17","이거연",-0.03,0.6,-0.6,0.267
"18","화이트",-0.06,3.8,-0.2,0.337
"19","오준혁",-0.09,17.9,-3.2,0.32
"20","이흥련",-0.12,9.6,-7.4,0.277
"21","김민준",-0.15,-0.8,-1.5,0
"22","김재현",-0.19,-0.7,-2.5,0.135
"23","정진기",-0.2,9.6,-8.6,0.272
"24","채현우",-0.21,-0.6,-3.7,0.163
"25","최준우",-0.28,15.2,-11,0.28
"26","이현석",-0.35,3,-11.2,0.224
"27","남태혁",-0.36,3.6,-5.8,0.25
"28","이홍구",-0.39,2.3,-4.7,0.242
"29","윤석민",-0.46,3.3,-6.6,0.242
"30","정현",-0.48,4.2,-12.3,0.23
"31","김경호",-0.54,5.4,-7.7,0.254
"32","이재원",-0.57,11.4,-20.5,0.246
"33","정의윤",-0.7,14,-12,0.274
