"","NAME","WAR","wRC","wRAA","wOBA"
"1","로하스",7.62,146.4,65.4,0.466
"2","황재균",5.06,101.2,23.7,0.39
"3","강백호",4.69,111.9,37.9,0.421
"4","배정대",3.6,89.9,10.7,0.364
"5","박경수",2.41,61.6,10.3,0.374
"6","장성우",2.18,54.6,-4.3,0.332
"7","조용호",1.53,64,1.4,0.347
"8","유한준",0.61,55.5,0.5,0.345
"9","문상철",0.36,21.3,-0.8,0.338
"10","박승욱",0.34,14.9,-1.9,0.327
"11","허도환",0.22,6.4,-1.3,0.317
"12","강현우",0.04,2.3,-1.9,0.276
"13","이홍구",0.02,3.9,-1.8,0.296
"14","정주후",-0.02,0.3,0,0.366
"15","문상인",-0.04,-0.3,-0.6,0
"16","박준혁",-0.05,-0.3,-0.6,0
"17","김민혁",-0.08,24.7,-7.6,0.308
"18","김태훈",-0.08,-0.5,-0.9,0
"19","심우준",-0.1,35.5,-33.5,0.27
"20","김병희",-0.15,-0.1,-2.9,0.183
"21","오태곤",-0.16,2.1,-4.6,0.238
"22","송민섭",-0.23,3.6,-3,0.274
"23","천성호",-0.24,4.5,-5.2,0.262
"24","김영환",-0.24,-1.7,-3,0
"25","홍현빈",-0.36,-1.3,-4.5,0.127
"26","강민국",-0.58,4,-11.2,0.232
