"","NAME","WAR","wRC","wRAA","wOBA"
"1","김하성",6.81,114.3,34.1,0.408
"2","이정후",5.68,113.5,34,0.408
"3","김혜성",2.77,70.6,-0.9,0.342
"4","박동원",2.26,48.5,0.5,0.345
"5","서건창",2.17,85.4,8.7,0.361
"6","박준태",1.83,57.1,-0.5,0.342
"7","박병호",1.62,51.7,2.8,0.352
"8","허정협",1.43,48.3,2.2,0.351
"9","이지영",1.2,36.7,-0.6,0.341
"10","김웅빈",0.77,30.8,0,0.344
"11","전병우",0.71,38.9,-12.8,0.306
"12","러셀",0.45,26.4,-9.1,0.304
"13","임병욱",0.22,4.7,-0.7,0.325
"14","김주형",0.2,5.5,-1.1,0.319
"15","변상권",0.15,6.2,-2.1,0.305
"16","김은성",0.13,1.9,1.1,0.563
"17","임지열",0.05,0.6,0.5,0.942
"18","김병휘",0,-0.2,-0.3,0
"19","박정음",0,1.9,-4.3,0.238
