"","NAME","WAR","wRC","wRAA","wOBA"
"1","손아섭",4.93,114.8,34.7,0.409
"2","마차도",3.25,77.2,3.8,0.351
"3","전준우",3.06,95.7,13.4,0.368
"4","정훈",2.69,73.7,11.3,0.371
"5","한동희",2.47,77.2,7.6,0.36
"6","안치홍",2.02,61.4,1.1,0.346
"7","오윤석",1.31,30.8,4.9,0.373
"8","이대호",1.01,87.1,7,0.357
"9","이병규",0.96,32,6.6,0.383
"10","김준태",0.96,40.3,-8.1,0.318
"11","강태율",0.55,7.3,4.9,0.661
"12","김재유",0.28,13.1,-4.3,0.306
"13","지성준",0.09,1.7,0.3,0.371
"14","신용수",0.07,1.7,0.7,0.445
"15","김민수",0.04,1.2,-0.1,0.335
"16","신본기",0.04,9.9,-6.2,0.285
"17","강로한",0.02,2.1,-1.3,0.287
"18","김강현",-0.03,0,-0.6,0.183
"19","이호연",-0.06,-0.3,-0.6,0
"20","추재현",-0.21,0.3,-3.3,0.206
"21","배성근",-0.22,-1.2,-2.1,0
"22","김동한",-0.24,4.8,-4.8,0.267
"23","허일",-0.59,4.3,-8.2,0.244
"24","민병헌",-0.68,23.5,-21.3,0.271
"25","정보근",-1.18,-0.7,-20.6,0.187
