"","NAME","WAR","wRC","wRAA","wOBA"
"1","양의지",6.09,110.5,42.1,0.437
"2","나성범",4.94,117.6,42.1,0.428
"3","박민우",4.48,93.6,25.1,0.399
"4","알테어",4.26,90.5,19.5,0.385
"5","박석민",3.97,83.8,25.7,0.411
"6","노진혁",3.02,71,8.3,0.364
"7","권희동",2.08,62.6,7.8,0.365
"8","강진성",1.97,65.7,10.1,0.371
"9","이명기",1.75,72.8,2.8,0.35
"10","김형준",0.52,12.3,1.8,0.37
"11","김태군",0.51,14.3,-2.9,0.318
"12","모창민",0.34,19.8,0.8,0.35
"13","최정원",0.29,6.9,0.6,0.358
"14","이재율",0.23,2.5,1.2,0.485
"15","김찬형",0.22,8,-1.1,0.325
"16","김기환",0.06,0.8,0.5,0.645
"17","윤수강",-0.01,0.2,-0.4,0.235
"18","박시원",-0.02,-0.2,-0.3,0
"19","도태훈",-0.03,0.7,-1,0.258
"20","지석훈",-0.04,10.9,-7.7,0.281
"21","김성욱",-0.07,20.3,-8.9,0.297
"22","유영준",-0.07,-0.5,-0.9,0
"23","김준완",-0.1,6.5,-3.3,0.292
"24","이원재",-0.1,16.3,-2.9,0.321
"25","박준영",-0.19,1.7,-5,0.23
"26","서호철",-0.21,-1.3,-2.4,0
"27","김태진",-0.51,3.6,-7.3,0.241
"28","이상호",-0.65,-1.7,-10,0.16
