"","NAME","WAR","wRC","wRAA","wOBA"
"1","구자욱",3.35,86.1,19.3,0.387
"2","김상수",3.25,73.3,11.6,0.372
"3","강민호",3,60.5,9,0.37
"4","박해민",2.48,70.7,0.2,0.344
"5","김동엽",2.21,74,15.4,0.383
"6","살라디노",1.35,30,8.6,0.405
"7","이원석",1.27,59,-1.7,0.339
"8","김호재",1.11,22.5,4.4,0.381
"9","강한울",0.55,14.6,-1.4,0.33
"10","이학주",0.5,22.7,-8.7,0.301
"11","최영진",0.35,14.8,-0.2,0.342
"12","이성곤",0.27,19.1,-1,0.336
"13","김지찬",0.12,20.1,-17.4,0.273
"14","송준석",0.12,6.6,0,0.345
"15","김성윤",0.08,1.7,0.5,0.414
"16","권정웅",0.02,0.3,0,0.366
"17","라이블리",-0.02,-0.2,-0.3,0
"18","김재현",-0.05,0.5,-1.8,0.227
"19","김민수",-0.08,0.5,-2.6,0.218
"20","김도환",-0.1,3,-3.5,0.262
"21","김성표",-0.12,-0.5,-1.6,0.118
"22","백승민",-0.13,0,-1.6,0.188
"23","박찬도",-0.15,10,-5.2,0.292
"24","김응민",-0.23,4.2,-6.7,0.25
"25","양우현",-0.3,-0.9,-4,0.148
"26","박승규",-0.31,16.4,-8.8,0.291
"27","김헌곤",-0.4,23.9,-12.5,0.291
"28","팔카",-0.67,18,-10.4,0.288
"29","박계범",-0.82,6.9,-15.5,0.238
"30","이성규",-0.92,17.4,-14.7,0.274
