NAME,WAR,wRC,wRAA,wOBA,SALARY(2018),SALARY(2019),SALARY(2020)
강경학,0.69,26.9,-2.26,0.32,5800,5800,7800
강민호,2.26,55.6,0.66,0.34,100000,100000,125000
강백호,3.84,100.5,28.7,0.4,2700,2700,21000
강진성,0.59,26.5,0.43,0.31,3000,3000,3800
고종욱,0.66,45.5,-3.43,0.32,11000,11000,17000
구자욱,3.07,84.53,16.86,0.37,25000,25000,28000
권희동,1.44,54.03,1.23,0.34,13000,13000,13500
김강민,1.31,43.4,-1.06,0.34,60000,60000,35000
김동엽,0.43,46.93,-1.76,0.32,11500,11500,13500
김동한,-0.19,5.9,-5.13,0.27,6300,6300,4500
김문호,-0.01,8.33,-3.6,0.29,15000,15000,5000
김민성,1.45,46.93,-5.13,0.32,35000,35000,40000
김민수,-0.01,1.4,-0.76,0.26,3200,3200,6500
김민식,0.25,20.4,-11.56,0.27,15000,15000,8800
김민하,0.03,11.2,-3,0.31,3200,3200,4500
김민혁,0.28,27.23,-6.7,0.3,4700,4700,9000
김상수,2.22,61.73,-3.5,0.33,16500,16500,16500
김선빈,2.21,58.8,2.9,0.35,28000,28000,45000
김성욱,0.54,31.73,-7.83,0.3,10500,10500,12000
김성현,0.64,41.3,-15.7,0.3,25000,25000,21000
김영환,-0.15,-0.76,-1.9,0.06,3700,3700,3700
김용의,-0.38,10.13,-9.93,0.27,9000,9000,10500
김응민,-0.14,1.53,-2.63,0.16,3000,3000,3200
김인태,0.18,10.56,-1.93,0.32,3200,3200,5000
김재현,-0.14,5,-6.8,0.16,5100,5100,5600
김재현,-0.01,1.46,-1.1,0.15,4500,4500,5500
김재호,2.89,64.43,4.33,0.35,65000,65000,65000
김재환,5.06,104.73,27.73,0.39,47000,47000,65000
김주찬,1.16,41.53,4.4,0.36,40000,40000,40000
김찬형,0.19,12,-4.6,0.3,2700,2700,5800
김태균,0.61,44.23,1.03,0.33,160000,160000,50000
김태진,0.04,19.2,-6.5,0.31,3000,3000,3000
김하성,5.84,102.53,24.33,0.38,32000,32000,32000
김헌곤,1.19,65.1,-1.9,0.33,8500,8500,19000
김현수,4.23,102.43,28.5,0.39,140000,140000,130000
김형준,0.02,7.06,-5.26,0.28,2700,2700,5000
김혜성,1.89,53.96,-7.16,0.32,2900,2900,2900
김회성,0.13,8.96,-1.5,0.29,5800,5800,6500
나성범,3.66,84,25.63,0.43,43000,43000,50000
나주환,0.32,30.4,-8.6,0.3,30000,30000,12000
나지완,1.83,59,10.96,0.36,60000,60000,60000
남태혁,-0.19,1.56,-3.06,0.22,3300,3300,3000
노수광,1.22,51.36,-4.4,0.32,13000,13000,13000
노진혁,2.37,60.16,2.53,0.34,4300,4300,14000
로맥,4.37,112.5,35.33,0.4,50000,50000,90000
로하스,6.25,125.03,45.23,0.42,80000,80000,80000
류지혁,0.53,21.23,-5.63,0.35,9500,9500,9500
모창민,1.11,40.63,4.43,0.35,18500,18500,30000
문선재,-0.1,1.7,-1.26,0.2,7000,7000,4500
민병헌,1.96,56.3,1.76,0.34,100000,100000,125000
박건우,3.89,87.03,17.33,0.37,37000,37000,45000
박경수,2.37,65.43,4.4,0.35,23000,23000,40000
박동원,1.85,38.06,1.9,0.34,18000,18000,18000
박민우,4.04,83.13,18.06,0.38,32000,32000,52000
박병호,4.56,93.33,33.3,0.41,150000,150000,150000
박세혁,2.03,44.63,-2.36,0.33,10000,10000,23200
박승욱,0.24,14.73,-3.56,0.32,4500,4500,8000
박용택,0.7,47.26,1.23,0.33,80000,80000,80000
박정음,-0.1,3.1,-3.23,0.23,5500,5500,5500
박준태,0.61,25.5,-2.56,0.29,3800,3800,3800
박찬도,-0.1,6.53,-3.73,0.28,5000,5000,5000
박해민,2.31,71.46,-5.23,0.33,29000,29000,30000
백승민,-0.15,1.5,-2.3,0.23,2700,2700,4500
백승현,-0.12,0.83,-2.4,0.22,3000,3000,3400
백용환,0.29,8.56,-0.73,0.32,5300,5300,4000
서건창,1.72,58.63,6.5,0.36,38000,38000,38000
손아섭,4.32,104.8,26.53,0.39,150000,150000,200000
송민섭,-0.14,3.6,-2.46,0.25,3000,3000,4700
송준석,0.02,3.73,-0.8,0.31,2700,2700,4000
신본기,0.84,36.63,-7.37,0.31,9000,9000,12500
신성현,-0.02,2.63,-1.07,0.34,5700,5700,4800
심우준,0.58,37.67,-21.2,0.29,6300,6300,13000
안치홍,3.28,75.93,14.13,0.37,32000,32000,29000
양성우,-0.32,8.77,-7.73,0.24,1000,10000,7000
